State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date,Station Type
AL,ABBEVILLE POLICE DEPT,2320-01-371-9584,"TRUCK,UTILITY",1,Each,"$62,627.00",C,1,"Sep 29, 2016 12:00:00 AM",State
AL,ABBEVILLE POLICE DEPT,1005-01-587-7175,"MOUNT,RIFLE",10,Each,"$1,626.00",D,1,"Sep 19, 2016 12:00:00 AM",State
AL,ABBEVILLE POLICE DEPT,2320-01-371-9584,"TRUCK,UTILITY",1,Each,"$62,627.00",C,1,"Sep 29, 2016 12:00:00 AM",State
AL,ABBEVILLE POLICE DEPT,2355-01-553-4634,MINE RESISTANT VEHICLE,1,Each,"$658,000.00",C,1,"Nov 9, 2016 12:00:00 AM",State
AL,ABBEVILLE POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",9,Each,$321.00,D,1,"Sep 14, 2016 12:00:00 AM",State
AL,ABBEVILLE POLICE DEPT,1240-DS-OPT-SIGH,OPTICAL SIGHTING AND RANGING EQUIPMENT,1,Each,$245.88,D,,"Jun 2, 2016 12:00:00 AM",State
AL,ABBEVILLE POLICE DEPT,6760-01-628-6105,CAMERA ROBOT       ,1,Each,$600.00,D,7,"Feb 8, 2017 12:00:00 AM",State
AL,ABBEVILLE POLICE DEPT,5855-01-577-7174,"ILLUMINATOR,INFRARED",10,Each,$884.00,D,1,"Mar 28, 2017 12:00:00 AM",State
AL,ABBEVILLE POLICE DEPT,2540-01-565-4700,BALLISTIC BLANKET KIT,10,Kit,"$14,627.73",D,1,"Jan 30, 2018 12:00:00 AM",State
AL,ABBEVILLE POLICE DEPT,2340-DS-ATV-4WHE,"ALL TERRAIN VEHICLE, 4 WHEEL",1,Each,"$10,700.00",A,,"Apr 23, 2019 12:00:00 AM",State
AL,ABBEVILLE POLICE DEPT,2340-DS-ATV-4WHE,"ALL TERRAIN VEHICLE, 4 WHEEL",1,Each,"$1,000.00",A,,"Apr 23, 2019 12:00:00 AM",State
AL,ABBEVILLE POLICE DEPT,1385-01-574-4707,"UNMANNED VEHICLE,GROUND",1,Each,"$10,000.00",Q,3,"Mar 28, 2017 12:00:00 AM",State
AL,ADAMSVILLE POLICE DEPT,5855-01-531-5726,"SIGHT,NIGHT VISION SNIPERSCOPE",1,Each,"$10,089.00",D,1,"Jul 3, 2012 12:00:00 AM",State
