State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date,Station Type
AZ,APACHE COUNTY SHERIFF'S OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 18, 1998 12:00:00 AM",State
AZ,APACHE COUNTY SHERIFF'S OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 18, 1998 12:00:00 AM",State
AZ,APACHE COUNTY SHERIFF'S OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 18, 1998 12:00:00 AM",State
AZ,APACHE COUNTY SHERIFF'S OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 18, 1998 12:00:00 AM",State
AZ,APACHE COUNTY SHERIFF'S OFFICE,5811-01-176-3877,"SYSTEM,POWER DISTRI",1,Each,"$600,000.00",D,,"Jul 12, 2011 12:00:00 AM",State
AZ,APACHE COUNTY SHERIFF'S OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 18, 1998 12:00:00 AM",State
AZ,APACHE JUNCTION POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",18,Each,$321.00,D,1,"Nov 10, 2015 12:00:00 AM",State
AZ,APACHE JUNCTION POLICE DEPT,2355-01-590-1660,MINE RESISTANT VEHICLE,1,Each,"$733,000.00",C,1,"Mar 3, 2014 12:00:00 AM",State
AZ,APACHE JUNCTION POLICE DEPT,5855-00-629-5334,NIGHT VISION SIGHT INDIVIDUAL SERVED WEAPONS,1,Each,"$5,650.00",F,1,"Jan 23, 2012 12:00:00 AM",State
AZ,APACHE JUNCTION POLICE DEPT,4240-DS-SAF-ERES,SAFETY AND RESCUE EQUIPMENT,1,Each,$200.00,D,,"Oct 17, 2011 12:00:00 AM",State
AZ,APACHE JUNCTION POLICE DEPT,5855-00-629-5334,NIGHT VISION SIGHT INDIVIDUAL SERVED WEAPONS,1,Each,"$5,650.00",F,1,"Jan 23, 2012 12:00:00 AM",State
AZ,APACHE JUNCTION POLICE DEPT,5855-00-629-5334,NIGHT VISION SIGHT INDIVIDUAL SERVED WEAPONS,1,Each,"$5,650.00",F,1,"Jan 23, 2012 12:00:00 AM",State
AZ,APACHE JUNCTION POLICE DEPT,5855-00-629-5334,NIGHT VISION SIGHT INDIVIDUAL SERVED WEAPONS,1,Each,"$5,650.00",F,1,"Jan 23, 2012 12:00:00 AM",State
AZ,APACHE JUNCTION POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Apr 4, 2000 12:00:00 AM",State
AZ,APACHE JUNCTION POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Apr 4, 2000 12:00:00 AM",State
AZ,APACHE JUNCTION POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Apr 4, 2000 12:00:00 AM",State
AZ,APACHE JUNCTION POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"May 20, 1999 12:00:00 AM",State
AZ,APACHE JUNCTION POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Apr 4, 2000 12:00:00 AM",State
AZ,APACHE JUNCTION POLICE DEPT,5855-00-629-5334,NIGHT VISION SIGHT INDIVIDUAL SERVED WEAPONS,1,Each,"$5,650.00",F,1,"Jan 23, 2012 12:00:00 AM",State
AZ,APACHE JUNCTION POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Apr 4, 2000 12:00:00 AM",State
AZ,ARIZONA  WESTERN COLLEGE PD HI_ED,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,$108.00,D,1,"Aug 18, 2005 12:00:00 AM",State
AZ,ARIZONA  WESTERN COLLEGE PD HI_ED,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,$108.00,D,1,"Aug 18, 2005 12:00:00 AM",State
AZ,ARIZONA  WESTERN COLLEGE PD HI_ED,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,$108.00,D,1,"Aug 18, 2005 12:00:00 AM",State
AZ,ARIZONA  WESTERN COLLEGE PD HI_ED,1095-01-526-7860,"FIRING DEVICE,NON-LETHAL",3,Each,"$1,079.00",D,1,"Dec 12, 2011 12:00:00 AM",State
AZ,ARIZONA  WESTERN COLLEGE PD HI_ED,2320-01-146-7193,"TRUCK,UTILITY",1,Each,"$41,447.00",C,1,"Nov 14, 2011 12:00:00 AM",State
AZ,ARIZONA  WESTERN COLLEGE PD HI_ED,1005-00-921-5004,"MAGAZINE,CARTRIDGE",100,Each,$13.56,D,1,"Aug 18, 2012 12:00:00 AM",State
AZ,ARIZONA  WESTERN COLLEGE PD HI_ED,5895-01-541-8895,SATELLITE COMMUNICATION SYSTEM,2,Each,"$1,395.00",Q,3,"Nov 12, 2014 12:00:00 AM",State
AZ,ARIZONA  WESTERN COLLEGE PD HI_ED,1240-00-930-3833,BINOCULAR,2,Each,$278.05,D,1,"Apr 11, 2016 12:00:00 AM",State
AZ,ARIZONA  WESTERN COLLEGE PD HI_ED,2320-01-346-9317,"TRUCK,UTILITY",1,Each,"$91,429.00",C,1,"Jan 2, 2013 12:00:00 AM",State
AZ,ARIZONA  WESTERN COLLEGE PD HI_ED,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Sep 18, 2017 12:00:00 AM",State
AZ,ARIZONA  WESTERN COLLEGE PD HI_ED,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Sep 18, 2017 12:00:00 AM",State
AZ,ARIZONA  WESTERN COLLEGE PD HI_ED,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Sep 18, 2017 12:00:00 AM",State
AZ,ARIZONA  WESTERN COLLEGE PD HI_ED,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Sep 18, 2017 12:00:00 AM",State
AZ,ARIZONA  WESTERN COLLEGE PD HI_ED,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Sep 18, 2017 12:00:00 AM",State
AZ,ARIZONA  WESTERN COLLEGE PD HI_ED,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Sep 18, 2017 12:00:00 AM",State
AZ,ARIZONA  WESTERN COLLEGE PD HI_ED,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Sep 18, 2017 12:00:00 AM",State
AZ,ARIZONA  WESTERN COLLEGE PD HI_ED,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Sep 18, 2017 12:00:00 AM",State
AZ,ARIZONA  WESTERN COLLEGE PD HI_ED,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Sep 18, 2017 12:00:00 AM",State
AZ,ARIZONA  WESTERN COLLEGE PD HI_ED,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Sep 18, 2017 12:00:00 AM",State
AZ,ARIZONA DEPT OF AGRICULTURE,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,$108.00,D,1,"Aug 25, 2005 12:00:00 AM",State
AZ,ARIZONA DEPT OF AGRICULTURE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 15, 2005 12:00:00 AM",State
AZ,ARIZONA DEPT OF AGRICULTURE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 19, 2011 12:00:00 AM",State
AZ,ARIZONA DEPT OF AGRICULTURE,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,$108.00,D,1,"Aug 25, 2005 12:00:00 AM",State
AZ,ARIZONA DEPT OF AGRICULTURE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 19, 2011 12:00:00 AM",State
AZ,ARIZONA DEPT OF AGRICULTURE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 19, 2011 12:00:00 AM",State
AZ,ARIZONA DEPT OF AGRICULTURE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 19, 2011 12:00:00 AM",State
AZ,ARIZONA DEPT OF AGRICULTURE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 19, 2011 12:00:00 AM",State
AZ,ARIZONA DEPT OF AGRICULTURE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 19, 2011 12:00:00 AM",State
AZ,ARIZONA DEPT OF AGRICULTURE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 15, 2005 12:00:00 AM",State
AZ,ARIZONA DEPT OF AGRICULTURE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 15, 2005 12:00:00 AM",State
AZ,ARIZONA DEPT OF AGRICULTURE,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,$108.00,D,1,"Aug 25, 2005 12:00:00 AM",State
AZ,ARIZONA DEPT OF AGRICULTURE,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,$108.00,D,1,"Aug 25, 2005 12:00:00 AM",State
AZ,ARIZONA DEPT OF AGRICULTURE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 19, 2011 12:00:00 AM",State
AZ,ARIZONA DEPT OF AGRICULTURE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 19, 2011 12:00:00 AM",State
AZ,ARIZONA DEPT OF AGRICULTURE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 19, 2011 12:00:00 AM",State
AZ,ARIZONA DEPT OF AGRICULTURE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 19, 2011 12:00:00 AM",State
AZ,ARIZONA DEPT OF AGRICULTURE,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,$108.00,D,1,"Aug 25, 2005 12:00:00 AM",State
AZ,ARIZONA DEPT OF AGRICULTURE,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,$108.00,D,1,"Aug 25, 2005 12:00:00 AM",State
AZ,ARIZONA DEPT OF AGRICULTURE,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,$108.00,D,1,"Aug 25, 2005 12:00:00 AM",State
AZ,ARIZONA DEPT OF AGRICULTURE,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,$108.00,D,1,"Aug 25, 2005 12:00:00 AM",State
AZ,ARIZONA DEPT OF AGRICULTURE,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,$108.00,D,1,"Aug 25, 2005 12:00:00 AM",State
AZ,ARIZONA DEPT OF PUBLIC SAFETY,8465-01-525-0606,"POUCH,M4 TWO MAG   ",331,Each,$4.76,A,1,"Jul 30, 2019 12:00:00 AM",State
AZ,ARIZONA DEPT OF PUBLIC SAFETY,6145-DS-CAB-LEEL,"WIRE AND CABLE, ELECTRICAL, ROLL",18,Roll,$150.00,A,,"Jul 18, 2019 12:00:00 AM",State
