State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date,Station Type
CA,ALAMEDA COUNTY SHERIFF OFFICE,2320-01-346-9317,"TRUCK,UTILITY",1,Each,"$91,429.00",C,1,"Mar 1, 2012 12:00:00 AM",State
CA,ALAMEDA COUNTY SHERIFF OFFICE,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Feb 25, 2015 12:00:00 AM",State
CA,ALAMEDA COUNTY SHERIFF OFFICE,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Jun 29, 2012 12:00:00 AM",State
CA,ALAMEDA COUNTY SHERIFF OFFICE,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Jun 29, 2012 12:00:00 AM",State
CA,ALAMEDA COUNTY SHERIFF OFFICE,2320-01-128-9551,"TRUCK,UTILITY",1,Each,"$50,458.00",C,1,"Jun 29, 2012 12:00:00 AM",State
CA,ALAMEDA COUNTY SHERIFF OFFICE,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Jun 29, 2012 12:00:00 AM",State
CA,ALAMEDA COUNTY SHERIFF OFFICE,1940-DS-BOA-T000,SMALL CRAFT BOAT,1,Each,"$4,400,000.00",D,,"Dec 27, 2005 12:00:00 AM",State
CA,ALAMEDA COUNTY SHERIFF OFFICE,2540-01-544-2214,BALLISTIC BLANKET  ,63,Each,"$3,308.09",D,1,"Sep 19, 2013 12:00:00 AM",State
CA,ALAMEDA COUNTY SHERIFF OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Dec 23, 1999 12:00:00 AM",State
CA,ALAMEDA COUNTY SHERIFF OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Dec 23, 1999 12:00:00 AM",State
CA,ALAMEDA COUNTY SHERIFF OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Dec 23, 1999 12:00:00 AM",State
CA,ALAMEDA COUNTY SHERIFF OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Dec 23, 1999 12:00:00 AM",State
CA,ALAMEDA COUNTY SHERIFF OFFICE,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Feb 25, 2015 12:00:00 AM",State
CA,ALAMEDA COUNTY SHERIFF OFFICE,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Feb 25, 2015 12:00:00 AM",State
CA,ALAMEDA COUNTY SHERIFF OFFICE,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Feb 25, 2015 12:00:00 AM",State
CA,ALAMEDA COUNTY SHERIFF OFFICE,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Feb 25, 2015 12:00:00 AM",State
CA,ALAMEDA COUNTY SHERIFF OFFICE,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Mar 11, 2015 12:00:00 AM",State
CA,ALAMEDA COUNTY SHERIFF OFFICE,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Mar 11, 2015 12:00:00 AM",State
