State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date,Station Type
CO,ADAMS COUNTY SHERIFF DEPT,8150-01-518-8749,"CONTAINER,FREIGHT,SPECIFIC PURPOSE",2,Each,"$28,724.39",A,1,"Jun 5, 2019 12:00:00 AM",State
CO,ALAMOSA COUNTY SHERIFF DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Jan 3, 2011 12:00:00 AM",State
CO,ALAMOSA COUNTY SHERIFF DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Nov 10, 2009 12:00:00 AM",State
CO,ALAMOSA COUNTY SHERIFF DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Nov 10, 2009 12:00:00 AM",State
CO,ALAMOSA COUNTY SHERIFF DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Sep 2, 2010 12:00:00 AM",State
CO,ALAMOSA COUNTY SHERIFF DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Sep 2, 2010 12:00:00 AM",State
CO,ALAMOSA COUNTY SHERIFF DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Sep 3, 2010 12:00:00 AM",State
CO,ALAMOSA COUNTY SHERIFF DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Nov 10, 2009 12:00:00 AM",State
CO,ALAMOSA COUNTY SHERIFF DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Jan 3, 2011 12:00:00 AM",State
CO,ALAMOSA COUNTY SHERIFF DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Sep 3, 2010 12:00:00 AM",State
CO,ALAMOSA COUNTY SHERIFF DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Jan 3, 2011 12:00:00 AM",State
CO,ALAMOSA COUNTY SHERIFF DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Jan 3, 2011 12:00:00 AM",State
CO,ALAMOSA COUNTY SHERIFF DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Sep 2, 2010 12:00:00 AM",State
CO,ALAMOSA COUNTY SHERIFF DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Sep 2, 2010 12:00:00 AM",State
CO,ALAMOSA COUNTY SHERIFF DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Sep 2, 2010 12:00:00 AM",State
CO,ALAMOSA COUNTY SHERIFF DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Sep 3, 2010 12:00:00 AM",State
CO,ALAMOSA COUNTY SHERIFF DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Jan 3, 2011 12:00:00 AM",State
CO,ALAMOSA COUNTY SHERIFF DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Sep 3, 2010 12:00:00 AM",State
CO,ALAMOSA COUNTY SHERIFF DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Nov 10, 2009 12:00:00 AM",State
CO,ALAMOSA COUNTY SHERIFF DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Nov 10, 2009 12:00:00 AM",State
