State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date,Station Type
CT,ANSONIA POLICE DEPT,2320-01-346-9317,"TRUCK,UTILITY",1,Each,"$89,900.00",C,1,"Apr 4, 2012 12:00:00 AM",State
CT,ANSONIA POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,$321.00,D,1,"Jul 13, 2012 12:00:00 AM",State
CT,BEACON FALLS POLICE,1240-01-551-5762,"SIGHT,REFLEX",1,Each,$322.00,C,1,"May 2, 2018 12:00:00 AM",State
CT,BEACON FALLS POLICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Apr 5, 1999 12:00:00 AM",State
CT,BEACON FALLS POLICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Apr 5, 1999 12:00:00 AM",State
CT,BEACON FALLS POLICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Apr 5, 1999 12:00:00 AM",State
CT,BEACON FALLS POLICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Apr 5, 1999 12:00:00 AM",State
CT,BEACON FALLS POLICE,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Sep 17, 2014 12:00:00 AM",State
CT,BEACON FALLS POLICE,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Sep 17, 2014 12:00:00 AM",State
CT,BEACON FALLS POLICE,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,$749.00,D,1,"Sep 17, 2014 12:00:00 AM",State
CT,BEACON FALLS POLICE,1005-01-465-5080,"BUTTSTOCK,SUBASSEMBLY",5,Each,$43.68,B,3,"Dec 10, 2014 12:00:00 AM",State
CT,BEACON FALLS POLICE,1005-01-484-8000,"SIGHT,REAR",9,Each,$55.04,D,1,"Sep 3, 2015 12:00:00 AM",State
CT,BEACON FALLS POLICE,1005-01-382-6795,"RECEIVER,CARTRIDGE",9,Each,$41.04,D,1,"Oct 22, 2015 12:00:00 AM",State
CT,BEACON FALLS POLICE,4710-01-233-8637,"TUBE,BENT,METALLIC",6,Each,$8.31,D,1,"Nov 10, 2015 12:00:00 AM",State
CT,BEACON FALLS POLICE,1005-01-233-8529,BARREL AND FRONT SIGHT ASSEMBLY,9,Each,$117.00,D,1,"Oct 21, 2015 12:00:00 AM",State
CT,BEACON FALLS POLICE,1005-01-233-8531,"EXTENSION,LOWER    ",9,Each,$51.99,D,1,"May 5, 2016 12:00:00 AM",State
CT,BEACON FALLS POLICE,1005-01-233-8530,"PLATE,RECEIVER END ",7,Each,$2.71,D,1,"May 5, 2016 12:00:00 AM",State
CT,BEACON FALLS POLICE,1005-01-452-3527,"ADAPTER RAIL,WEAPON MOUNTED,M4",9,Each,$78.34,D,7,"Nov 2, 2015 12:00:00 AM",State
CT,BEACON FALLS POLICE,1240-01-411-1265,"SIGHT,REFLEX",1,Each,$321.00,D,1,"Aug 28, 2014 12:00:00 AM",State
CT,BEACON FALLS POLICE,1240-01-411-1265,"SIGHT,REFLEX",1,Each,$321.00,D,1,"Aug 28, 2014 12:00:00 AM",State
CT,BEACON FALLS POLICE,1240-01-411-1265,"SIGHT,REFLEX",1,Each,$321.00,D,1,"Aug 28, 2014 12:00:00 AM",State
CT,BEACON FALLS POLICE,1240-01-411-1265,"SIGHT,REFLEX",1,Each,$321.00,D,1,"Mar 20, 2014 12:00:00 AM",State
CT,BEACON FALLS POLICE,5855-01-524-4314,"SIGHT,THERMAL",1,Each,"$11,999.00",F,7,"Nov 30, 2016 12:00:00 AM",State
CT,BEACON FALLS POLICE,1240-01-411-1265,"SIGHT,REFLEX",1,Each,$321.00,D,1,"Aug 28, 2014 12:00:00 AM",State
CT,BEACON FALLS POLICE,1240-01-411-1265,"SIGHT,REFLEX",1,Each,$321.00,D,1,"Aug 28, 2014 12:00:00 AM",State
CT,BEACON FALLS POLICE,1240-01-411-1265,"SIGHT,REFLEX",1,Each,$321.00,D,1,"Aug 28, 2014 12:00:00 AM",State
CT,BEACON FALLS POLICE,1240-01-411-1265,"SIGHT,REFLEX",1,Each,$321.00,D,1,"Aug 28, 2014 12:00:00 AM",State
CT,BEACON FALLS POLICE,1240-01-411-1265,"SIGHT,REFLEX",4,Each,$321.00,D,1,"Feb 15, 2017 12:00:00 AM",State
CT,BEACON FALLS POLICE,1240-01-551-5762,"SIGHT,REFLEX",1,Each,$322.00,C,1,"May 2, 2018 12:00:00 AM",State
CT,BEACON FALLS POLICE,1005-01-233-8636,"STOCK,GUN,SHOULDER",1,Each,$10.76,D,1,"May 15, 2013 12:00:00 AM",State
CT,BEACON FALLS POLICE,1005-01-233-8636,"STOCK,GUN,SHOULDER",1,Each,$10.76,D,1,"May 15, 2013 12:00:00 AM",State
CT,BEACON FALLS POLICE,1005-01-233-8636,"STOCK,GUN,SHOULDER",1,Each,$10.76,D,1,"May 15, 2013 12:00:00 AM",State
CT,BEACON FALLS POLICE,1005-01-484-8000,"SIGHT,REAR",1,Each,$55.04,D,1,"May 15, 2013 12:00:00 AM",State
CT,BEACON FALLS POLICE,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"May 10, 1999 12:00:00 AM",State
CT,BEACON FALLS POLICE,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"May 10, 1999 12:00:00 AM",State
CT,BEACON FALLS POLICE,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"May 10, 1999 12:00:00 AM",State
CT,BEACON FALLS POLICE,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"May 10, 1999 12:00:00 AM",State
CT,BEACON FALLS POLICE,1005-01-233-8636,"STOCK,GUN,SHOULDER",1,Each,$10.76,D,1,"May 15, 2013 12:00:00 AM",State
