State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date,Station Type
GA,ABBEVILLE POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Mar 15, 2011 12:00:00 AM",State
GA,ABBEVILLE POLICE DEPT,5855-DS-NIG-HTVI,"NIGHT VISION EQUIP, EMIT, REFLECTED RAD",1,Each,"$4,000.00",D,,"Dec 9, 2016 12:00:00 AM",State
GA,ABBEVILLE POLICE DEPT,1240-01-492-5264,"SIGHT,HOLOGRAPHIC  ",4,Each,$587.61,D,1,"Jul 14, 2016 12:00:00 AM",State
GA,ABBEVILLE POLICE DEPT,5855-01-627-7123,"SIGHT,THERMAL",2,Each,"$14,482.00",D,1,"Oct 21, 2015 12:00:00 AM",State
GA,ABBEVILLE POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",3,Each,$321.00,D,1,"Apr 23, 2015 12:00:00 AM",State
GA,ABBEVILLE POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 3, 1998 12:00:00 AM",State
GA,ABBEVILLE POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 3, 1998 12:00:00 AM",State
GA,ABBEVILLE POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jun 3, 1997 12:00:00 AM",State
GA,ABBEVILLE POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jun 3, 1997 12:00:00 AM",State
GA,ACWORTH POLICE DEPT,2320-01-128-9552,"TRUCK,UTILITY",1,Each,"$49,897.00",C,1,"Apr 7, 2015 12:00:00 AM",State
GA,ALAPAHA POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Mar 15, 2004 12:00:00 AM",State
GA,ALBANY POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 4, 2012 12:00:00 AM",State
GA,ALBANY POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 4, 2012 12:00:00 AM",State
GA,ALBANY POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 4, 2012 12:00:00 AM",State
GA,ALBANY POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 4, 2012 12:00:00 AM",State
