State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date,Station Type
ID,ADA COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 14, 2000 12:00:00 AM",State
ID,ADA COUNTY SHERIFF DEPT,2355-DS-COM-BTV2,ONLY COMPLETE COMBAT/ASSAULT/TACTICAL WHEELED VEHICLES,1,Each,"$195,650.00",D,,"Feb 28, 2011 12:00:00 AM",State
ID,ADA COUNTY SHERIFF DEPT,2355-01-555-0908,MINE RESISTANT VEHICLE,1,Each,"$412,000.00",C,1,"Sep 13, 2013 12:00:00 AM",State
ID,ADA COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 14, 2000 12:00:00 AM",State
ID,ADA COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 14, 2000 12:00:00 AM",State
ID,ADA COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 14, 2000 12:00:00 AM",State
ID,ADA COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 14, 2000 12:00:00 AM",State
ID,ADA COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 14, 2000 12:00:00 AM",State
ID,ADA COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 14, 2000 12:00:00 AM",State
ID,ADA COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 14, 2000 12:00:00 AM",State
ID,ADA COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 14, 2000 12:00:00 AM",State
ID,ADA COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 14, 2000 12:00:00 AM",State
ID,ASHTON POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Sep 27, 2011 12:00:00 AM",State
ID,ASHTON POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Sep 27, 2011 12:00:00 AM",State
ID,ASHTON POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Sep 27, 2011 12:00:00 AM",State
ID,ASHTON POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Sep 27, 2011 12:00:00 AM",State
ID,ASHTON POLICE DEPT,2320-01-128-9552,"TRUCK,UTILITY",1,Each,"$49,897.00",C,1,"Apr 2, 2015 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,4320-01-476-0512,"PUMP,HYDRAULIC",1,Each,"$7,311.00",A,1,"Mar 4, 2020 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,4020-01-338-3307,"ROPE ASSEMBLY,INSERTION AND EXTRACTION",1,Each,$899.00,A,1,"Jan 29, 2020 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,6510-00-913-7909,"BANDAGE,ADHESIVE",3,Box,$7.86,A,1,"Jul 11, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,6665-01-464-9652,"DETECTOR,GAS",1,Each,$999.00,A,1,"Jul 11, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,7490-DS-LAM-INAT,LAMINATOR,2,Each,"$3,182.00",A,,"Aug 1, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,2340-DS-ATV-PART,ATV PARTS,8,Each,$339.00,A,,"Jul 11, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,6515-01-521-7511,"GLOVES,TACTICAL EXAM",15,Package,$19.41,A,1,"Aug 1, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,6130-01-451-3810,POWER SUPPLY,3,Each,$661.05,A,1,"Aug 1, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,8415-01-530-2350,"PAD,KNEE           ",2,Pair,$17.86,A,1,"Jun 12, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,6910-DS-TRA-INAI,TRAINING AIDS,2,Each,$250.00,A,,"Jun 12, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,6675-00-968-0938,"LEVEL,SURVEYING",1,Each,$883.74,A,1,"Jun 26, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,8415-01-470-0978,"TRAINING SUIT,FULL,DEFENSIVE TACTICS SIMULATION",2,Each,"$1,109.97",A,1,"Jun 26, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,3770-01-484-2010,DOG MUZZLE SET     ,4,Each,$27.23,A,1,"Jun 26, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,7520-01-467-1841,"MARKER ASSORTMENT,TUBE TYPE",1,Package,$29.32,A,1,"Jun 26, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,6545-01-539-2732,"FIRST AID KIT,INDIVIDUAL",1,Kit,$347.30,A,1,"Jun 26, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,8340-01-519-2701,TARPAULIN,2,Each,$92.67,A,1,"Jun 26, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,8340-01-519-2701,TARPAULIN,2,Each,$92.67,A,1,"Jun 26, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,4240-01-534-3386,"PROTECTOR,HEARING",2,Each,$21.93,A,1,"Jul 11, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,6515-01-461-8933,"GLOVE,PATIENT EXAMINING",1,Package,$21.82,A,1,"Jul 11, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,6510-01-304-6489,"BANDAGE,GAUZE,SELF-ADHERENT",2,Package,$31.05,A,1,"Jul 11, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,8315-01-358-3555,"FASTENER TAPE,HOOK",1,Roll,$130.18,A,1,"Jun 12, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,2320-01-595-9234,"VEHICLE,SPORT UTILITY,CLASS I-II,SUPCOMPCCT-COMPACT 4X2",1,Each,"$22,422.00",A,1,"Aug 1, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,6530-01-490-2487,SPINEBOARD,2,Each,$267.80,A,1,"Jul 11, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,6530-01-260-1222,"RESCUE AND TRANSPORT SYSTEM,PATIENT",4,Each,$667.88,A,1,"Jul 11, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,3740-01-462-4040,"RIFLE,TRANQUILIZER,POWDER RIFE",1,Each,$314.67,A,1,"Jul 9, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,5342-01-017-8696,CLIP RESCUE HOIST  ,26,Each,$4.80,A,1,"Aug 3, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,6515-01-519-3612,"RESUSCITATOR KIT,HAND OPERATED",3,Each,$14.54,A,1,"Jul 11, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,4240-01-534-3386,"PROTECTOR,HEARING",1,Each,$21.93,A,1,"Jul 11, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,6515-01-061-7812,"RESUSCITATOR,HAND OPERATED",1,Each,$178.02,A,1,"Jun 26, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,5210-01-357-6370,"TAPE,MEASURING",3,Each,$194.00,A,1,"Oct 11, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,6640-01-508-8340,"PAD,ABSORBANT LABORATORY",1,Each,$45.12,A,1,"Jul 11, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,6530-01-537-2692,"INSERT SYSTEM,MEDICAL BACKPACK",10,Each,$427.25,A,1,"Jun 12, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,6545-01-522-1031,"BAG,MEDICAL SUPPLIES",1,Each,$252.59,A,1,"Jun 12, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,6515-01-121-6480,"CUFF,SPHYGMOMANOMETER",1,Each,$67.51,A,1,"Jun 26, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,5130-DS-IMP-ACT0,"IMPACT DRILL, POWER",4,Each,$25.25,A,,"May 28, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,6515-01-614-4641,"SPLINT,UNIVERSAL",2,Each,$12.39,A,1,"May 28, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,6515-01-461-5798,"TOURNIQUET,NONPNEUMATIC",1,Package,$21.71,A,1,"May 28, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,7810-DS-ATH-SPOR,ATHLETIC AND SPORTING EQUIPMENT,15,Each,$25.00,A,,"May 2, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,4235-DS-HAZ-SUIT,HAZMAT CHEM PROTECTIVE SUITS,30,Each,$20.00,A,,"May 2, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,8340-01-538-8762,TENT,1,Each,"$22,455.02",A,1,"May 7, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,6545-01-539-2732,"FIRST AID KIT,INDIVIDUAL",1,Kit,$347.30,A,1,"Jun 26, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,8150-01-518-8749,"CONTAINER,FREIGHT,SPECIFIC PURPOSE",1,Each,"$28,724.39",A,1,"Jun 26, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,8145-DS-CAS-E004,SHIPPING CASE,1,Each,$10.00,A,,"Jun 26, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,6545-01-094-8412,"FIRST AID KIT,INDIVIDUAL",1,Each,$26.55,A,1,"Jun 26, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,6625-DS-TES-TEQU,LAB INSTRUMENT TEST EQUIPMENT,12,Each,$4.00,A,,"Jun 12, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,8145-DS-CAS-E004,SHIPPING CASE,1,Each,$10.00,A,,"Jun 26, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,6515-00-338-2900,"FORCEPS,HEMOSTATIC",3,Each,$44.55,A,1,"Jun 26, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,4240-01-550-3256,"CURTAIN,SAFETY,WELDING",6,Each,$119.45,A,1,"Jun 24, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,6665-01-462-7914,RADIACMETER,2,Each,$914.75,A,1,"Jul 11, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,6515-01-510-4342,SPHYGMOMANOMETER,1,Each,$56.46,A,1,"Jul 11, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,7830-DS-BIC-YCEE,"BICYCLE, EXERCISE",1,Each,$735.00,A,,"Jul 11, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,4110-DS-FRE-EZER,FREEZER,1,Each,$600.00,A,,"Jul 11, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,6515-01-368-2874,"DETECTOR,END-TIDAL,CARBON DIOXIDE",1,Package,$75.13,A,1,"Jun 26, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,6140-01-510-0884,"BATTERY,STORAGE",1,Each,$101.63,A,1,"Jul 11, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,8465-01-581-5571,"PADS,TACTICAL PROTECTIVE,ASSAULT",1,Pair,$19.84,A,1,"Jun 12, 2019 12:00:00 AM",State
ID,BEAR LAKE COUNTY SHERIFF OFFICE,6515-01-557-1136,"OXIMETER,PULSE",8,Each,$409.57,A,1,"Jun 12, 2019 12:00:00 AM",State
