State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date,Station Type
IN,ALEXANDRIA POLICE DEPTMENT,1005-00-937-5840,"REVOLVER,CALIBER .38 SPECIAL",1,Each,$90.50,D,,"Feb 15, 2001 12:00:00 AM",State
IN,ALEXANDRIA POLICE DEPTMENT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Sep 25, 2003 12:00:00 AM",State
IN,ALEXANDRIA POLICE DEPTMENT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Oct 1, 2008 12:00:00 AM",State
IN,ALEXANDRIA POLICE DEPTMENT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Sep 30, 2009 12:00:00 AM",State
IN,ALEXANDRIA POLICE DEPTMENT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 29, 2012 12:00:00 AM",State
IN,ALEXANDRIA POLICE DEPTMENT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 29, 2012 12:00:00 AM",State
IN,ALEXANDRIA POLICE DEPTMENT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 29, 2012 12:00:00 AM",State
IN,ALEXANDRIA POLICE DEPTMENT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Oct 1, 2008 12:00:00 AM",State
IN,ALEXANDRIA POLICE DEPTMENT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Sep 30, 2009 12:00:00 AM",State
IN,ALEXANDRIA POLICE DEPTMENT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 29, 2012 12:00:00 AM",State
IN,ALEXANDRIA POLICE DEPTMENT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Oct 1, 2008 12:00:00 AM",State
IN,ALEXANDRIA POLICE DEPTMENT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Oct 1, 2008 12:00:00 AM",State
IN,ALEXANDRIA POLICE DEPTMENT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Oct 1, 2008 12:00:00 AM",State
IN,ALEXANDRIA POLICE DEPTMENT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Sep 30, 2009 12:00:00 AM",State
IN,ALEXANDRIA POLICE DEPTMENT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Oct 1, 2008 12:00:00 AM",State
IN,ALEXANDRIA POLICE DEPTMENT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 29, 2012 12:00:00 AM",State
IN,ALEXANDRIA POLICE DEPTMENT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Oct 1, 2008 12:00:00 AM",State
IN,ALEXANDRIA POLICE DEPTMENT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Oct 1, 2008 12:00:00 AM",State
IN,ALEXANDRIA POLICE DEPTMENT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Oct 1, 2008 12:00:00 AM",State
IN,ALEXANDRIA POLICE DEPTMENT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Sep 25, 2003 12:00:00 AM",State
IN,ALEXANDRIA POLICE DEPTMENT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 29, 2012 12:00:00 AM",State
IN,ALEXANDRIA POLICE DEPTMENT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Nov 29, 2012 12:00:00 AM",State
IN,ALEXANDRIA POLICE DEPTMENT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Nov 29, 2012 12:00:00 AM",State
IN,ALEXANDRIA POLICE DEPTMENT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Oct 1, 2008 12:00:00 AM",State
IN,ALEXANDRIA POLICE DEPTMENT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Oct 1, 2008 12:00:00 AM",State
IN,ALEXANDRIA POLICE DEPTMENT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Oct 1, 2008 12:00:00 AM",State
IN,ALEXANDRIA POLICE DEPTMENT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Oct 1, 2008 12:00:00 AM",State
IN,ANDERSON POLICE DEPT,5855-01-471-3162,"SIGHT,NIGHT VISION SNIPERSCOPE",1,Each,"$9,938.14",D,1,"Mar 16, 2006 12:00:00 AM",State
IN,ANDERSON POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Dec 27, 2005 12:00:00 AM",State
IN,ANDERSON POLICE DEPT,5855-01-471-3162,"SIGHT,NIGHT VISION SNIPERSCOPE",1,Each,"$9,938.14",D,1,"Mar 16, 2006 12:00:00 AM",State
IN,ANDERSON POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Dec 27, 2005 12:00:00 AM",State
IN,ANDERSON POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Dec 28, 2005 12:00:00 AM",State
IN,ANDERSON POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Dec 27, 2005 12:00:00 AM",State
IN,ANDERSON POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Dec 27, 2005 12:00:00 AM",State
IN,ANDERSON POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Dec 27, 2005 12:00:00 AM",State
IN,ANDERSON POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Dec 27, 2005 12:00:00 AM",State
IN,ANDERSON POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Dec 27, 2005 12:00:00 AM",State
IN,ANDERSON POLICE DEPT,5855-DS-THR-MCAM,THERMAL CAMERA,1,Each,"$5,995.00",D,,"Dec 11, 2007 12:00:00 AM",State
IN,ANDERSON POLICE DEPT,5855-DS-THR-MCAM,THERMAL CAMERA,1,Each,"$5,995.00",D,,"Dec 11, 2007 12:00:00 AM",State
IN,ANDERSON POLICE DEPT,5855-DS-THR-MCAM,THERMAL CAMERA,1,Each,"$5,995.00",D,,"Dec 11, 2007 12:00:00 AM",State
IN,ANDERSON POLICE DEPT,5855-DS-THR-MCAM,THERMAL CAMERA,1,Each,"$5,995.00",D,,"Dec 11, 2007 12:00:00 AM",State
IN,ANDERSON POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jan 17, 2012 12:00:00 AM",State
IN,ANDERSON POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jan 17, 2012 12:00:00 AM",State
IN,ANDERSON POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jan 17, 2012 12:00:00 AM",State
IN,ANDERSON POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jan 17, 2012 12:00:00 AM",State
IN,ANDERSON POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jan 17, 2012 12:00:00 AM",State
IN,ANDERSON POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jan 17, 2012 12:00:00 AM",State
IN,ANDERSON POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jan 17, 2012 12:00:00 AM",State
IN,ANDERSON POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jan 17, 2012 12:00:00 AM",State
IN,ANDERSON POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jan 17, 2012 12:00:00 AM",State
IN,ANDERSON POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jan 17, 2012 12:00:00 AM",State
IN,ANDERSON POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"May 20, 1999 12:00:00 AM",State
IN,ANDERSON POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Aug 21, 2002 12:00:00 AM",State
IN,ANDERSON POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jan 17, 2012 12:00:00 AM",State
