State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date,Station Type
KY,ALEXANDRIA POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jul 10, 2012 12:00:00 AM",State
KY,ALEXANDRIA POLICE DEPT,1240-01-492-5264,"SIGHT,HOLOGRAPHIC  ",1,Each,$587.61,D,1,"Nov 16, 2016 12:00:00 AM",State
KY,ALEXANDRIA POLICE DEPT,5855-01-533-0940,"SIGHT,NIGHT VISION SNIPERSCOPE",1,Each,"$5,000.00",D,1,"Jan 9, 2017 12:00:00 AM",State
KY,ALEXANDRIA POLICE DEPT,2355-01-562-6146,MINE RESISTANT VEHICLE,1,Each,"$689,000.00",C,1,"Jun 23, 2016 12:00:00 AM",State
KY,ALEXANDRIA POLICE DEPT,1240-01-492-5264,"SIGHT,HOLOGRAPHIC  ",1,Each,$587.61,D,1,"Nov 16, 2016 12:00:00 AM",State
KY,ALEXANDRIA POLICE DEPT,1240-01-492-5264,"SIGHT,HOLOGRAPHIC  ",7,Each,$587.61,D,1,"Nov 16, 2016 12:00:00 AM",State
KY,ALEXANDRIA POLICE DEPT,5855-01-524-4314,"SIGHT,THERMAL",1,Each,"$11,999.00",F,7,"Nov 14, 2016 12:00:00 AM",State
KY,ALEXANDRIA POLICE DEPT,1240-01-492-5264,"SIGHT,HOLOGRAPHIC  ",1,Each,$587.61,D,1,"Nov 16, 2016 12:00:00 AM",State
KY,ALEXANDRIA POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Oct 20, 1993 12:00:00 AM",State
KY,ALEXANDRIA POLICE DEPT,5855-01-533-0940,"SIGHT,NIGHT VISION SNIPERSCOPE",1,Each,"$5,000.00",D,1,"Jan 9, 2017 12:00:00 AM",State
KY,ALEXANDRIA POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jul 6, 1998 12:00:00 AM",State
KY,ALEXANDRIA POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jul 6, 1998 12:00:00 AM",State
KY,ALEXANDRIA POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jul 6, 1998 12:00:00 AM",State
KY,ALEXANDRIA POLICE DEPT,1240-01-492-5264,"SIGHT,HOLOGRAPHIC  ",1,Each,$587.61,D,1,"Nov 16, 2016 12:00:00 AM",State
KY,ALEXANDRIA POLICE DEPT,1240-01-492-5264,"SIGHT,HOLOGRAPHIC  ",1,Each,$587.61,D,1,"Nov 16, 2016 12:00:00 AM",State
KY,ALLEN COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Apr 19, 2012 12:00:00 AM",State
KY,ALLEN COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Apr 19, 2012 12:00:00 AM",State
KY,ALLEN COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Oct 20, 1993 12:00:00 AM",State
KY,ALLEN COUNTY SHERIFF DEPT,2320-01-380-8604,"TRUCK,UTILITY",1,Each,"$89,900.00",C,1,"Dec 9, 2011 12:00:00 AM",State
