State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date,Station Type
ME,ANDROSCOGGIN COUNTY SHERIFF,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 12, 2003 12:00:00 AM",State
ME,ANDROSCOGGIN COUNTY SHERIFF,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 12, 2003 12:00:00 AM",State
ME,ANDROSCOGGIN COUNTY SHERIFF,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 12, 2003 12:00:00 AM",State
ME,ANDROSCOGGIN COUNTY SHERIFF,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 12, 2003 12:00:00 AM",State
ME,AROOSTOOK COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Feb 1, 1994 12:00:00 AM",State
ME,AROOSTOOK COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 12, 2004 12:00:00 AM",State
ME,AROOSTOOK COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Feb 1, 1994 12:00:00 AM",State
ME,AROOSTOOK COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jan 25, 2012 12:00:00 AM",State
ME,AROOSTOOK COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jan 25, 2012 12:00:00 AM",State
ME,AROOSTOOK COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Nov 28, 1994 12:00:00 AM",State
ME,AROOSTOOK COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Feb 1, 1994 12:00:00 AM",State
ME,AROOSTOOK COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Nov 28, 1994 12:00:00 AM",State
ME,AROOSTOOK COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jan 25, 2012 12:00:00 AM",State
ME,AROOSTOOK COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 12, 2004 12:00:00 AM",State
ME,AROOSTOOK COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jan 25, 2012 12:00:00 AM",State
ME,AROOSTOOK COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jan 25, 2012 12:00:00 AM",State
ME,AROOSTOOK COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Feb 1, 1994 12:00:00 AM",State
ME,AROOSTOOK COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Feb 1, 1994 12:00:00 AM",State
ME,AROOSTOOK COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jan 25, 2012 12:00:00 AM",State
ME,AROOSTOOK COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 12, 2004 12:00:00 AM",State
ME,AROOSTOOK COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Nov 28, 1994 12:00:00 AM",State
ME,AROOSTOOK COUNTY SHERIFF DEPT,3825-DS-NOW-BLOW,SNOW BLOWER,1,Each,$800.00,A,,"Dec 2, 2019 12:00:00 AM",State
ME,AROOSTOOK COUNTY SHERIFF DEPT,8415-01-538-6278,"PARKA,EXTREME COLD WEATHER",9,Each,$123.91,A,1,"Dec 2, 2019 12:00:00 AM",State
ME,AROOSTOOK COUNTY SHERIFF DEPT,8415-01-465-7105,"T-SHIRT,ATHLETES",30,Each,$5.96,A,1,"Dec 2, 2019 12:00:00 AM",State
ME,AROOSTOOK COUNTY SHERIFF DEPT,8415-01-538-6308,"PARKA,EXTREME COLD WEATHER",9,Each,$123.91,A,1,"Dec 2, 2019 12:00:00 AM",State
ME,AROOSTOOK COUNTY SHERIFF DEPT,8415-01-538-6300,"PARKA,EXTREME COLD WEATHER",10,Each,$123.91,A,1,"Dec 2, 2019 12:00:00 AM",State
ME,AROOSTOOK COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 12, 2004 12:00:00 AM",State
ME,AROOSTOOK COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Feb 1, 1994 12:00:00 AM",State
ME,AROOSTOOK COUNTY SHERIFF DEPT,8415-01-465-7106,"T-SHIRT,ATHLETES",30,Each,$5.96,A,1,"Dec 2, 2019 12:00:00 AM",State
ME,AROOSTOOK COUNTY SHERIFF DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Jul 18, 2000 12:00:00 AM",State
ME,AROOSTOOK COUNTY SHERIFF DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Jul 18, 2000 12:00:00 AM",State
ME,BANGOR POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jun 24, 1993 12:00:00 AM",State
ME,BANGOR POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"May 10, 2005 12:00:00 AM",State
ME,BANGOR POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jun 24, 1993 12:00:00 AM",State
ME,BANGOR POLICE DEPT,1367-01-561-5277,"CAPABILITIES SET,NON-LETHAL",1,Each,"$12,256.00",B,3,"Jan 27, 2017 12:00:00 AM",State
ME,BANGOR POLICE DEPT,1385-01-574-4707,"UNMANNED VEHICLE,GROUND",1,Each,"$10,000.00",Q,3,"May 29, 2013 12:00:00 AM",State
ME,BANGOR POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"May 10, 2005 12:00:00 AM",State
ME,BERWICK POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jul 24, 2000 12:00:00 AM",State
ME,BERWICK POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jul 24, 2000 12:00:00 AM",State
ME,BOSTON AND MAINE RAILROAD POLICE,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Oct 26, 2011 12:00:00 AM",State
ME,BOSTON AND MAINE RAILROAD POLICE,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Oct 26, 2011 12:00:00 AM",State
ME,BOSTON AND MAINE RAILROAD POLICE,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Oct 26, 2011 12:00:00 AM",State
ME,BOSTON AND MAINE RAILROAD POLICE,2320-01-128-9551,"TRUCK,UTILITY",1,Each,"$50,458.00",C,1,"Mar 6, 2012 12:00:00 AM",State
ME,BOSTON AND MAINE RAILROAD POLICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"May 15, 1997 12:00:00 AM",State
ME,BOSTON AND MAINE RAILROAD POLICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"May 15, 1997 12:00:00 AM",State
ME,BRUNSWICK POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Feb 7, 2000 12:00:00 AM",State
ME,BRUNSWICK POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 10, 2002 12:00:00 AM",State
ME,BRUNSWICK POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 29, 2012 12:00:00 AM",State
ME,BRUNSWICK POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 29, 2012 12:00:00 AM",State
ME,BRUNSWICK POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 29, 2012 12:00:00 AM",State
ME,BRUNSWICK POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 29, 2012 12:00:00 AM",State
ME,BRUNSWICK POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Apr 6, 1999 12:00:00 AM",State
ME,BRUNSWICK POLICE DEPT,2320-01-074-7642,"TRUCK,ARMORED",1,Each,"$65,070.00",C,1,"Mar 10, 2015 12:00:00 AM",State
ME,BRUNSWICK POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",9,Each,$321.00,D,1,"Nov 9, 2017 12:00:00 AM",State
ME,BRUNSWICK POLICE DEPT,5855-01-534-5931,"ILLUMINATOR,INTEGRATED,SMALL ARMS",14,Each,$870.00,D,1,"Oct 31, 2018 12:00:00 AM",State
ME,BRUNSWICK POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",16,Each,$321.00,D,1,"Feb 9, 2012 12:00:00 AM",State
