State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date,Station Type
MT,ANACONDA DEER LODGE CTY POLICE DEPT,2320-00-072-1450,"TRUCK,LUBRICATING AND FUEL SERVICING",1,Each,"$90,535.00",Q,3,"Nov 12, 2010 12:00:00 AM",State
MT,BAKER POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Mar 29, 2004 12:00:00 AM",State
MT,BAKER POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Oct 9, 1997 12:00:00 AM",State
MT,BAKER POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Mar 29, 2004 12:00:00 AM",State
MT,BAKER POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Aug 16, 1997 12:00:00 AM",State
MT,BAKER POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Aug 16, 1997 12:00:00 AM",State
MT,BAKER POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Mar 29, 2004 12:00:00 AM",State
MT,BAKER POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Oct 9, 1997 12:00:00 AM",State
MT,BEAVERHEAD CTY SHERIFF OFFICE,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Apr 4, 2005 12:00:00 AM",State
MT,BEAVERHEAD CTY SHERIFF OFFICE,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Apr 4, 2005 12:00:00 AM",State
MT,BEAVERHEAD CTY SHERIFF OFFICE,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Apr 4, 2005 12:00:00 AM",State
MT,BEAVERHEAD CTY SHERIFF OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Nov 3, 1993 12:00:00 AM",State
