State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date,Station Type
NV,BOULDER CITY POLICE DEPT,2340-DS-CAR-T000,"CART, MOTORIZED",1,Each,"$9,495.00",A,,"Apr 22, 2019 12:00:00 AM",State
NV,BOULDER CITY POLICE DEPT,2340-DS-CAR-T000,"CART, MOTORIZED",1,Each,"$9,495.00",A,,"Apr 22, 2019 12:00:00 AM",State
NV,CARLIN POLICE DEPT,5855-01-416-5085,"IMAGE INTENSIFIER,NIGHT VISION",2,Each,"$6,655.86",C,1,"Aug 14, 2008 12:00:00 AM",State
NV,CARLIN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jan 26, 2012 12:00:00 AM",State
NV,CARLIN POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Jul 18, 2000 12:00:00 AM",State
NV,CARLIN POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Jul 18, 2000 12:00:00 AM",State
NV,CARLIN POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 30, 2012 12:00:00 AM",State
NV,CARLIN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jan 26, 2012 12:00:00 AM",State
NV,CARLIN POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Jul 18, 2000 12:00:00 AM",State
NV,CARLIN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 1, 2006 12:00:00 AM",State
NV,CARLIN POLICE DEPT,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,$58.71,D,1,"Jul 18, 2000 12:00:00 AM",State
