State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date,Station Type
NH,ALLENSTOWN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 10, 2002 12:00:00 AM",State
NH,ALLENSTOWN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 10, 2002 12:00:00 AM",State
NH,ALLENSTOWN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 10, 2002 12:00:00 AM",State
NH,ALLENSTOWN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 10, 2002 12:00:00 AM",State
NH,ASHLAND POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 12, 2009 12:00:00 AM",State
NH,ASHLAND POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 12, 2009 12:00:00 AM",State
NH,BARNSTEAD POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 11, 2002 12:00:00 AM",State
NH,BARNSTEAD POLICE DEPT,2320-01-128-9551,"TRUCK,UTILITY",1,Each,"$50,458.00",C,1,"Feb 6, 2013 12:00:00 AM",State
NH,BARNSTEAD POLICE DEPT,2330-00-133-1731,"SEMITRAILER,LOW BED",1,Each,"$20,007.00",A,7,"Sep 4, 2019 12:00:00 AM",State
NH,BARNSTEAD POLICE DEPT,2320-01-125-2640,TRUCK TRACTOR,1,Each,"$57,454.00",A,1,"Aug 30, 2019 12:00:00 AM",State
NH,BARNSTEAD POLICE DEPT,6910-01-586-0678,"TRAINING AID,SMALL ARMS WEAPON",3,Each,$45.95,C,1,"Jul 7, 2015 12:00:00 AM",State
NH,BARNSTEAD POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 11, 2002 12:00:00 AM",State
NH,BARNSTEAD POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 11, 2002 12:00:00 AM",State
NH,BARNSTEAD POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 11, 2002 12:00:00 AM",State
NH,BERLIN POLICE DEPT,2320-01-346-9317,"TRUCK,UTILITY",1,Each,"$91,429.00",C,1,"Jan 2, 2013 12:00:00 AM",State
NH,BOSCAWEN POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Apr 16, 2012 12:00:00 AM",State
NH,BOSCAWEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 27, 1998 12:00:00 AM",State
NH,BOSCAWEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Apr 16, 2012 12:00:00 AM",State
NH,BOSCAWEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 27, 1998 12:00:00 AM",State
NH,BOSCAWEN POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Apr 16, 2012 12:00:00 AM",State
NH,BOSCAWEN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,$321.00,D,1,"Nov 23, 2016 12:00:00 AM",State
NH,BOSCAWEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Apr 16, 2012 12:00:00 AM",State
NH,BOSCAWEN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,$321.00,D,1,"Nov 23, 2016 12:00:00 AM",State
NH,BOSCAWEN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,$321.00,D,1,"Nov 23, 2016 12:00:00 AM",State
NH,BOSCAWEN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,$321.00,D,1,"Nov 23, 2016 12:00:00 AM",State
NH,BOSCAWEN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,$321.00,D,1,"Nov 23, 2016 12:00:00 AM",State
NH,BOSCAWEN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,$321.00,D,1,"Nov 23, 2016 12:00:00 AM",State
NH,BOSCAWEN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,$321.00,D,1,"Nov 23, 2016 12:00:00 AM",State
NH,BOSCAWEN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,$321.00,D,1,"Nov 23, 2016 12:00:00 AM",State
NH,BOSCAWEN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,$321.00,D,1,"Nov 23, 2016 12:00:00 AM",State
NH,BOSCAWEN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,$321.00,D,1,"Nov 23, 2016 12:00:00 AM",State
NH,BOSCAWEN POLICE DEPT,2320-01-354-3384,"TRUCK,VAN",1,Each,"$124,607.00",Q,6,"Mar 31, 2020 12:00:00 AM",State
NH,BOSCAWEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Apr 16, 2012 12:00:00 AM",State
NH,BOSCAWEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Apr 16, 2012 12:00:00 AM",State
NH,BRENTWOOD POLICE DEPT,5410-01-449-6640,"TOWER,SURVEILLANCE",1,Each,"$7,900.00",C,1,"Jan 28, 2013 12:00:00 AM",State
NH,BRIDGEWATER POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Apr 5, 2000 12:00:00 AM",State
NH,BRISTOL POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 11, 2002 12:00:00 AM",State
NH,BRISTOL POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 11, 2002 12:00:00 AM",State
NH,BRISTOL POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 11, 2002 12:00:00 AM",State
NH,BRISTOL POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 22, 1998 12:00:00 AM",State
NH,BRISTOL POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 22, 1998 12:00:00 AM",State
