State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date,Station Type
NM,ALAMOGORDO POLICE DEPARTMENT,1385-01-574-4707,"UNMANNED VEHICLE,GROUND",1,Each,"$10,000.00",Q,3,"Feb 6, 2014 12:00:00 AM",State
NM,ALAMOGORDO POLICE DEPARTMENT,2355-01-555-0908,MINE RESISTANT VEHICLE,1,Each,"$412,000.00",C,1,"Oct 15, 2013 12:00:00 AM",State
NM,ALAMOGORDO POLICE DEPARTMENT,1240-01-411-1265,"SIGHT,REFLEX",9,Each,$321.00,D,1,"Dec 21, 2016 12:00:00 AM",State
NM,ALAMOGORDO POLICE DEPARTMENT,1240-01-411-1265,"SIGHT,REFLEX",25,Each,$321.00,D,1,"Dec 21, 2016 12:00:00 AM",State
NM,ALAMOGORDO POLICE DEPARTMENT,1240-01-411-1265,"SIGHT,REFLEX",25,Each,$321.00,D,1,"Dec 21, 2016 12:00:00 AM",State
NM,ALAMOGORDO POLICE DEPARTMENT,2320-01-107-7153,"TRUCK,UTILITY",1,Each,"$63,894.00",C,1,"Jul 12, 2013 12:00:00 AM",State
NM,ALBUQUERQUE POLICE DEPT,1240-01-540-3690,"SIGHT,REFLEX",28,Each,$321.00,D,1,"Apr 21, 2014 12:00:00 AM",State
NM,ALBUQUERQUE POLICE DEPT,1240-01-528-8236,"FILTER,LIGHT,TELESCOPIC INSTRUMENT",2,Each,$524.00,D,1,"Dec 29, 2015 12:00:00 AM",State
NM,ALBUQUERQUE POLICE DEPT,1240-01-576-6134,"SIGHT,REFLEX",1,Each,$446.00,D,1,"Jun 16, 2015 12:00:00 AM",State
NM,ALBUQUERQUE POLICE DEPT,1240-01-492-5264,"SIGHT,HOLOGRAPHIC  ",90,Each,$587.61,D,1,"Jun 26, 2014 12:00:00 AM",State
NM,ALBUQUERQUE POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",19,Each,$321.00,D,1,"Jul 28, 2015 12:00:00 AM",State
NM,ALBUQUERQUE POLICE DEPT,1240-01-576-6134,"SIGHT,REFLEX",1,Each,$446.00,D,1,"Jun 16, 2015 12:00:00 AM",State
NM,ALBUQUERQUE POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",39,Each,$321.00,D,1,"Jul 14, 2015 12:00:00 AM",State
NM,ALBUQUERQUE POLICE DEPT,2355-01-590-1660,MINE RESISTANT VEHICLE,1,Each,"$733,000.00",C,1,"Feb 13, 2014 12:00:00 AM",State
NM,ALBUQUERQUE POLICE DEPT,1385-01-574-4707,"UNMANNED VEHICLE,GROUND",1,Each,"$10,000.00",Q,3,"Feb 6, 2014 12:00:00 AM",State
NM,ALBUQUERQUE POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",23,Each,$321.00,D,1,"Sep 23, 2014 12:00:00 AM",State
NM,BERNALILLO COUNTY SHERIFF OFFICE,4920-01-088-4573,MAINTENANCE STAND,1,Each,"$5,600.00",B,3,"Sep 12, 2017 12:00:00 AM",State
NM,BERNALILLO COUNTY SHERIFF OFFICE,5855-01-464-3152,"SIGHT,THERMAL",6,Each,"$17,591.00",F,7,"Apr 29, 2015 12:00:00 AM",State
NM,BERNALILLO COUNTY SHERIFF OFFICE,1510-DS-FIX-WNGA,"AIRCRAFT, FIXED WING",1,Each,"$9,000.00",B,,"Aug 9, 2007 12:00:00 AM",State
NM,BERNALILLO COUNTY SHERIFF OFFICE,1520-00-087-7637,"HELICOPTER,UTILITY",1,Each,"$922,704.00",C,1,"Sep 6, 2007 12:00:00 AM",State
NM,BERNALILLO COUNTY SHERIFF OFFICE,1680-01-552-3442,"HOIST,INTERNAL RESCUE",1,Each,"$144,092.00",Q,3,"May 20, 2015 12:00:00 AM",State
NM,BERNALILLO COUNTY SHERIFF OFFICE,1680-01-552-3442,"HOIST,INTERNAL RESCUE",1,Each,"$144,092.00",Q,3,"May 27, 2015 12:00:00 AM",State
NM,BERNALILLO COUNTY SHERIFF OFFICE,2320-01-371-9583,"TRUCK,UTILITY",1,Each,"$63,682.00",C,1,"Jul 18, 2018 12:00:00 AM",State
NM,BERNALILLO COUNTY SHERIFF OFFICE,2320-01-371-9583,"TRUCK,UTILITY",1,Each,"$63,682.00",C,1,"Jul 18, 2018 12:00:00 AM",State
NM,BERNALILLO COUNTY SHERIFF OFFICE,1240-01-411-1265,"SIGHT,REFLEX",22,Each,$321.00,D,1,"Apr 2, 2015 12:00:00 AM",State
NM,BERNALILLO COUNTY SHERIFF OFFICE,4920-01-088-4573,MAINTENANCE STAND,1,Each,"$5,600.00",B,3,"Sep 12, 2017 12:00:00 AM",State
NM,BERNALILLO COUNTY SHERIFF OFFICE,1680-00-183-0834,"TRANSMISSION ASSY,H",1,Each,"$76,675.00",Q,3,"Feb 15, 2017 12:00:00 AM",State
NM,BERNALILLO COUNTY SHERIFF OFFICE,2350-01-575-0646,"UNMANNED VEHICLE,GROUND",1,Each,"$187,312.00",Q,3,"Apr 14, 2016 12:00:00 AM",State
NM,BERNALILLO COUNTY SHERIFF OFFICE,1680-00-183-0834,"TRANSMISSION ASSY,H",2,Each,"$76,675.00",Q,3,"Feb 18, 2016 12:00:00 AM",State
NM,BERNALILLO COUNTY SHERIFF OFFICE,5855-01-464-3152,"SIGHT,THERMAL",1,Each,"$17,591.00",F,7,"Dec 18, 2015 12:00:00 AM",State
NM,BERNALILLO COUNTY SHERIFF OFFICE,2350-01-575-0646,"UNMANNED VEHICLE,GROUND",1,Each,"$187,312.00",Q,3,"Jan 21, 2016 12:00:00 AM",State
NM,BLOOMFIELD POLICE DEPT,8470-DS-BOD-YARM,"ARMOR, PERSONAL",1,Each,$495.00,D,,"May 26, 2012 12:00:00 AM",State
NM,BLOOMFIELD POLICE DEPT,2350-01-096-9356,"CARRIER,CARGO",1,Each,"$244,120.00",C,1,"Oct 21, 1998 12:00:00 AM",State
NM,CARLSBAD POLICE DEPT,5855-00-484-8638,NIGHT VISION SIGHT ,1,Each,"$2,208.00",F,1,"Apr 28, 1995 12:00:00 AM",State
NM,CARLSBAD POLICE DEPT,2355-01-590-1660,MINE RESISTANT VEHICLE,1,Each,"$733,000.00",C,1,"Feb 13, 2014 12:00:00 AM",State
NM,CARLSBAD POLICE DEPT,5855-00-484-8638,NIGHT VISION SIGHT ,1,Each,"$2,208.00",F,1,"Apr 28, 1995 12:00:00 AM",State
NM,CARLSBAD POLICE DEPT,1385-01-574-4707,"UNMANNED VEHICLE,GROUND",1,Each,"$10,000.00",Q,3,"Feb 6, 2014 12:00:00 AM",State
NM,CATRON COUNTY SHERIFF OFFICE,8140-01-593-7131,"SHIPPING AND STORAGE CONTAINER,GUIDED MISSILE",2,Each,$525.00,D,7,"Mar 6, 2015 12:00:00 AM",State
NM,CATRON COUNTY SHERIFF OFFICE,8140-01-077-7337,"SHIPPING AND STORAGE CONTAINER,BOMB DISPENSER",20,Each,$230.00,D,1,"Mar 19, 2013 12:00:00 AM",State
NM,CATRON COUNTY SHERIFF OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 23, 2001 12:00:00 AM",State
NM,CATRON COUNTY SHERIFF OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 23, 2001 12:00:00 AM",State
