State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date,Station Type
NY,ALBANY COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Apr 11, 2012 12:00:00 AM",State
NY,ALBANY COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Apr 11, 2012 12:00:00 AM",State
NY,ALBANY COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Apr 11, 2012 12:00:00 AM",State
NY,ALBANY COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Apr 11, 2012 12:00:00 AM",State
NY,ALBANY COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Apr 11, 2012 12:00:00 AM",State
NY,ALBANY COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Apr 11, 2012 12:00:00 AM",State
NY,ALBANY COUNTY SHERIFF OFFICE,2355-01-553-4634,MINE RESISTANT VEHICLE,1,Each,"$658,000.00",C,1,"Sep 27, 2013 12:00:00 AM",State
NY,ALBANY COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Apr 11, 2012 12:00:00 AM",State
NY,ALBANY COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Apr 11, 2012 12:00:00 AM",State
NY,ALBANY COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Apr 11, 2012 12:00:00 AM",State
NY,ALBANY COUNTY SHERIFF OFFICE,2320-01-456-1282,"TRUCK,UTILITY",1,Each,"$46,983.00",C,1,"Apr 30, 2012 12:00:00 AM",State
NY,ALBANY COUNTY SHERIFF OFFICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Apr 11, 2012 12:00:00 AM",State
NY,ALBANY POLICE DEPARTMENT,2320-01-346-9317,"TRUCK,UTILITY",1,Each,"$91,429.00",C,1,"Mar 23, 2012 12:00:00 AM",State
