State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date,Station Type
NC,AHOSKIE POLICE DEPT,2320-01-128-9551,"TRUCK,UTILITY",1,Each,"$50,458.00",C,1,"Nov 16, 2012 12:00:00 AM",State
NC,AHOSKIE POLICE DEPT,2320-01-128-9551,"TRUCK,UTILITY",1,Each,"$50,458.00",C,1,"Nov 16, 2012 12:00:00 AM",State
NC,AHOSKIE POLICE DEPT,5895-01-578-1600,"EXTRACTOR,TARGET,INTERROGATOR SET",2,Each,"$7,500.00",D,1,"May 2, 2018 12:00:00 AM",State
NC,ALEXANDER COUNTY SHERIFF'S OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Nov 2, 1993 12:00:00 AM",State
NC,ALEXANDER COUNTY SHERIFF'S OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Nov 2, 1993 12:00:00 AM",State
NC,ALEXANDER COUNTY SHERIFF'S OFFICE,1240-01-411-1265,"SIGHT,REFLEX",1,Each,$321.00,D,1,"Jul 3, 2013 12:00:00 AM",State
NC,ALEXANDER COUNTY SHERIFF'S OFFICE,1240-01-411-1265,"SIGHT,REFLEX",1,Each,$321.00,D,1,"Jul 3, 2013 12:00:00 AM",State
NC,ALEXANDER COUNTY SHERIFF'S OFFICE,1240-01-411-1265,"SIGHT,REFLEX",1,Each,$321.00,D,1,"Jul 3, 2013 12:00:00 AM",State
NC,ALEXANDER COUNTY SHERIFF'S OFFICE,1240-01-411-1265,"SIGHT,REFLEX",1,Each,$321.00,D,1,"Jul 3, 2013 12:00:00 AM",State
NC,ALEXANDER COUNTY SHERIFF'S OFFICE,1240-01-411-1265,"SIGHT,REFLEX",1,Each,$321.00,D,1,"Jul 3, 2013 12:00:00 AM",State
NC,ALEXANDER COUNTY SHERIFF'S OFFICE,1240-01-411-1265,"SIGHT,REFLEX",1,Each,$321.00,D,1,"Jul 3, 2013 12:00:00 AM",State
NC,ALEXANDER COUNTY SHERIFF'S OFFICE,1240-01-411-1265,"SIGHT,REFLEX",1,Each,$321.00,D,1,"Jul 3, 2013 12:00:00 AM",State
NC,ALEXANDER COUNTY SHERIFF'S OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Feb 24, 1994 12:00:00 AM",State
NC,ALEXANDER COUNTY SHERIFF'S OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jun 4, 1996 12:00:00 AM",State
NC,ALEXANDER COUNTY SHERIFF'S OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Feb 24, 1994 12:00:00 AM",State
NC,ALEXANDER COUNTY SHERIFF'S OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jun 4, 1996 12:00:00 AM",State
NC,ALEXANDER COUNTY SHERIFF'S OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Nov 2, 1993 12:00:00 AM",State
NC,ALEXANDER COUNTY SHERIFF'S OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"May 29, 1996 12:00:00 AM",State
NC,ALEXANDER COUNTY SHERIFF'S OFFICE,1240-01-412-6608,"TELESCOPE,STRAIGHT",6,Each,$987.00,F,1,"Sep 10, 2013 12:00:00 AM",State
NC,ALEXANDER COUNTY SHERIFF'S OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"May 29, 1996 12:00:00 AM",State
NC,ALLEGHANY COUNTY SHERIFF'S OFFICE,2320-01-540-2038,"TRUCK,UTILITY",1,Each,"$213,578.00",C,1,"Aug 27, 2019 12:00:00 AM",State
NC,AVERY COUNTY SHERIFF'S OFFICE,6115-01-319-9032,"GENERATOR SET,DIESEL ENGINE,TRAILER MOUNTED",1,Each,"$17,730.00",A,7,"Feb 5, 2020 12:00:00 AM",State
NC,AVERY COUNTY SHERIFF'S OFFICE,3431-DS-WEL-DER0,ELECTRIC ARC WELDING EQUIPMENT,1,Each,"$14,000.00",A,,"Mar 31, 2020 12:00:00 AM",State
NC,AVERY COUNTY SHERIFF'S OFFICE,6230-DS-LIG-HT01,"ELECTRIC PORTABLE, HAND LIGHTING EQUIP",1,Each,"$2,011.22",A,,"Mar 31, 2020 12:00:00 AM",State
NC,AVERY COUNTY SHERIFF'S OFFICE,8405-01-547-2559,"LINER,WET WEATHER PONCHO",5,Each,$39.41,A,1,"Mar 19, 2020 12:00:00 AM",State
NC,AVERY COUNTY SHERIFF'S OFFICE,6150-01-208-9754,"FEEDER SYSTEM,ELECT",8,Each,"$5,799.00",A,7,"Mar 31, 2020 12:00:00 AM",State
NC,AVERY COUNTY SHERIFF'S OFFICE,6115-01-274-7387,"GENERATOR SET,DIESEL ENGINE",1,Each,"$12,797.70",A,7,"Feb 5, 2020 12:00:00 AM",State
NC,AVERY COUNTY SHERIFF'S OFFICE,6230-00-635-4998,FLASHLIGHT,12,Each,$4.70,A,1,"Feb 5, 2020 12:00:00 AM",State
NC,AVERY COUNTY SHERIFF'S OFFICE,5130-00-903-2510,"SAW,BAND,ELECTRIC,PORTABLE",1,Each,$488.81,A,1,"Feb 5, 2020 12:00:00 AM",State
NC,AVERY COUNTY SHERIFF'S OFFICE,8465-01-524-5285,RUCKSACK LARGE FIELD PACK,1,Each,$83.07,A,1,"Mar 19, 2020 12:00:00 AM",State
NC,AVERY COUNTY SHERIFF'S OFFICE,8405-01-157-1146,"HAT,SERVICE",1,Each,$94.41,A,1,"Mar 19, 2020 12:00:00 AM",State
NC,AVERY COUNTY SHERIFF'S OFFICE,8465-01-524-5250,ASSAULT PACK       ,15,Each,$77.08,A,1,"Mar 19, 2020 12:00:00 AM",State
NC,AVERY COUNTY SHERIFF'S OFFICE,6515-01-532-8056,HYPOTHERMIA MANAGEMENT KIT,11,Each,$116.95,A,1,"Feb 5, 2020 12:00:00 AM",State
NC,AVERY COUNTY SHERIFF'S OFFICE,6115-01-461-9335,"GENERATOR SET,DIESEL ENGINE",3,Each,"$26,705.20",A,7,"Feb 11, 2020 12:00:00 AM",State
NC,AVERY COUNTY SHERIFF'S OFFICE,8405-01-547-2559,"LINER,WET WEATHER PONCHO",7,Each,$39.41,A,1,"Feb 5, 2020 12:00:00 AM",State
NC,AVERY COUNTY SHERIFF'S OFFICE,6515-01-532-8056,HYPOTHERMIA MANAGEMENT KIT,10,Each,$116.95,A,1,"Feb 5, 2020 12:00:00 AM",State
NC,AVERY COUNTY SHERIFF'S OFFICE,8140-00-960-1699,"CHEST,AMMUNITION",35,Each,$11.10,A,1,"Mar 19, 2020 12:00:00 AM",State
NC,AVERY COUNTY SHERIFF'S OFFICE,4220-01-608-4478,DIVERS SUIT,5,Each,"$1,099.50",A,1,"Sep 4, 2019 12:00:00 AM",State
NC,AVERY COUNTY SHERIFF'S OFFICE,6115-01-285-3012,"GENERATOR SET,DIESEL ENGINE",1,Each,"$9,922.25",A,7,"Jun 5, 2019 12:00:00 AM",State
NC,AVERY COUNTY SHERIFF'S OFFICE,8465-01-393-6515,"MAT,SLEEPING,SELF-INFLATING",15,Each,$51.02,A,1,"Jun 19, 2019 12:00:00 AM",State
NC,AVERY COUNTY SHERIFF'S OFFICE,8105-00-145-0163,"BAG,PLASTIC",5,Box,$66.70,A,1,"Jul 11, 2019 12:00:00 AM",State
NC,AVERY COUNTY SHERIFF'S OFFICE,4110-DS-REF-RIG0,REFRIGERATOR,2,Each,$100.00,A,,"Jun 25, 2019 12:00:00 AM",State
NC,AVERY COUNTY SHERIFF'S OFFICE,8340-01-600-4807,TARPAULIN,30,Each,$78.91,A,1,"Jul 11, 2019 12:00:00 AM",State
NC,AVERY COUNTY SHERIFF'S OFFICE,2330-DS-TRA-ILE1,TRAILER,1,Each,"$3,986.49",A,,"Aug 28, 2019 12:00:00 AM",State
NC,AVERY COUNTY SHERIFF'S OFFICE,8465-DS-POU-CH00,INDIVIDUAL POUCH,1,Each,$120.00,A,,"Jun 25, 2019 12:00:00 AM",State
NC,AVERY COUNTY SHERIFF'S OFFICE,8465-01-620-5997,FIELD PACK,20,Each,"$1,200.00",A,1,"Sep 25, 2019 12:00:00 AM",State
NC,AVERY COUNTY SHERIFF'S OFFICE,6515-DS-SIM-ULA0,MEDICAL SIMULATION EQUIPMENT,1,Each,"$9,884.00",A,,"Sep 25, 2019 12:00:00 AM",State
NC,AVERY COUNTY SHERIFF'S OFFICE,5530-00-128-4981,"PLYWOOD,CONSTRUCTION",120,Sheet,$45.12,A,1,"Sep 25, 2019 12:00:00 AM",State
NC,AVERY COUNTY SHERIFF'S OFFICE,2330-DS-TRA-ILE1,TRAILER,1,Each,"$2,000.00",A,,"Jun 19, 2019 12:00:00 AM",State
NC,AVERY COUNTY SHERIFF'S OFFICE,3770-01-534-2351,"KENNEL,DOG         ",4,Each,$187.56,A,1,"Jun 19, 2019 12:00:00 AM",State
NC,AVERY COUNTY SHERIFF'S OFFICE,8465-01-558-9958,"SNOWSHOE,ASSAULT,MILITARY",10,Pair,$180.23,A,1,"Sep 4, 2019 12:00:00 AM",State
NC,AVERY COUNTY SHERIFF'S OFFICE,4220-01-220-5816,SWIM FINS,15,Pair,$79.19,A,1,"Sep 4, 2019 12:00:00 AM",State
NC,AVERY COUNTY SHERIFF'S OFFICE,3825-01-561-0573,"SNOW REMOVAL UNIT,WALKING,POWER DRIVEN",1,Unknown,$0.00,A,1,"Jun 25, 2019 12:00:00 AM",State
NC,AVERY COUNTY SHERIFF'S OFFICE,6115-01-275-5061,"GENERATOR SET,DIESEL ENGINE",3,Each,"$10,700.00",A,7,"Jul 11, 2019 12:00:00 AM",State
NC,AVERY COUNTY SHERIFF'S OFFICE,8105-01-386-2428,"BAG,PLASTIC",2,Box,$79.05,A,1,"Jul 11, 2019 12:00:00 AM",State
NC,AVERY COUNTY SHERIFF'S OFFICE,7045-01-521-4221,"DISK,NONFLEXIBLE",3,Box,$12.03,A,1,"Jul 11, 2019 12:00:00 AM",State
NC,AVERY COUNTY SHERIFF'S OFFICE,4250-01-562-9531,"RECLAIMER,REFRIGERANT",2,Each,$892.36,A,1,"Sep 4, 2019 12:00:00 AM",State
