State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date,Station Type
ND,ADAMS CSO,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Apr 26, 2002 12:00:00 AM",State
ND,BARNES COUNTY SHERIFF DEPT,2320-01-128-9551,"TRUCK,UTILITY",1,Each,"$50,458.00",C,1,"Jun 18, 2014 12:00:00 AM",State
ND,BARNES COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Oct 10, 1997 12:00:00 AM",State
ND,BARNES COUNTY SHERIFF DEPT,1240-01-411-1265,"SIGHT,REFLEX",3,Each,$321.00,D,1,"Dec 10, 2013 12:00:00 AM",State
ND,BARNES COUNTY SHERIFF DEPT,1005-01-382-6795,"RECEIVER,CARTRIDGE",1,Each,$41.04,D,1,"Apr 1, 2014 12:00:00 AM",State
ND,BARNES COUNTY SHERIFF DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,$321.00,D,1,"Dec 10, 2013 12:00:00 AM",State
ND,BARNES COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jun 9, 1997 12:00:00 AM",State
ND,BARNES COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Oct 10, 1997 12:00:00 AM",State
ND,BARNES COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Oct 10, 1997 12:00:00 AM",State
ND,BARNES COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Oct 10, 1997 12:00:00 AM",State
ND,BARNES COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jun 9, 1997 12:00:00 AM",State
ND,BARNES COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jun 9, 1997 12:00:00 AM",State
ND,BARNES COUNTY SHERIFF DEPT,1005-01-484-8000,"SIGHT,REAR",1,Each,$55.04,D,1,"Nov 5, 2013 12:00:00 AM",State
ND,BARNES COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jun 9, 1997 12:00:00 AM",State
ND,BARNES COUNTY SHERIFF DEPT,1005-01-484-8000,"SIGHT,REAR",1,Each,$55.04,D,1,"Nov 5, 2013 12:00:00 AM",State
ND,BARNES COUNTY SHERIFF DEPT,1005-01-484-8000,"SIGHT,REAR",1,Each,$55.04,D,1,"Nov 5, 2013 12:00:00 AM",State
ND,BARNES COUNTY SHERIFF DEPT,1005-01-233-8636,"STOCK,GUN,SHOULDER",1,Each,$10.76,D,1,"Dec 10, 2013 12:00:00 AM",State
ND,BELFIELD POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Oct 27, 1994 12:00:00 AM",State
ND,BELFIELD POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Oct 27, 1994 12:00:00 AM",State
ND,BERTHOLD POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Apr 19, 2011 12:00:00 AM",State
ND,BEULAH POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Apr 19, 2011 12:00:00 AM",State
ND,BEULAH POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Mar 4, 2009 12:00:00 AM",State
ND,BEULAH POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Apr 19, 2011 12:00:00 AM",State
ND,BEULAH POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Apr 19, 2011 12:00:00 AM",State
ND,BEULAH POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Apr 19, 2011 12:00:00 AM",State
ND,BEULAH POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Apr 5, 2011 12:00:00 AM",State
ND,BEULAH POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Mar 23, 2010 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jan 26, 2002 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 4, 1996 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,1005-01-437-0324,"SUPPRESSOR,SMALL ARMS WEAPON",1,Each,$727.00,D,1,"Nov 25, 2013 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,1005-01-437-0324,"SUPPRESSOR,SMALL ARMS WEAPON",1,Each,$727.00,D,1,"Nov 25, 2013 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,1005-01-437-0324,"SUPPRESSOR,SMALL ARMS WEAPON",1,Each,$727.00,D,1,"Nov 25, 2013 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,1005-01-437-0324,"SUPPRESSOR,SMALL ARMS WEAPON",1,Each,$727.00,D,1,"Nov 25, 2013 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,1005-01-437-0324,"SUPPRESSOR,SMALL ARMS WEAPON",1,Each,$727.00,D,1,"Nov 19, 2013 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,2320-01-456-1282,"TRUCK,UTILITY",1,Each,"$46,983.00",C,1,"Apr 27, 2017 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,5855-01-533-0555,"ILLUMINATOR,INFRARED",11,Each,"$1,800.00",D,1,"Jun 1, 2017 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,2350-01-575-0646,"UNMANNED VEHICLE,GROUND",1,Each,"$187,312.00",Q,3,"May 16, 2017 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,2350-01-575-0646,"UNMANNED VEHICLE,GROUND",1,Each,"$187,312.00",Q,3,"May 16, 2017 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,2350-01-575-0646,"UNMANNED VEHICLE,GROUND",1,Each,"$187,312.00",Q,3,"May 16, 2017 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,5855-01-579-6564,"ILLUMINATOR,INTEGRATED,SMALL ARMS",9,Each,"$3,711.00",D,1,"Jun 1, 2017 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,5855-01-577-7174,"ILLUMINATOR,INFRARED",8,Each,$884.00,D,1,"May 16, 2017 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,1005-01-437-0324,"SUPPRESSOR,SMALL ARMS WEAPON",1,Each,$727.00,D,1,"Nov 25, 2013 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,1005-01-437-0324,"SUPPRESSOR,SMALL ARMS WEAPON",1,Each,$727.00,D,1,"Nov 25, 2013 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,1005-01-437-0324,"SUPPRESSOR,SMALL ARMS WEAPON",1,Each,$727.00,D,1,"Nov 25, 2013 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,1005-01-437-0324,"SUPPRESSOR,SMALL ARMS WEAPON",1,Each,$727.00,D,1,"Nov 25, 2013 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,1005-01-437-0324,"SUPPRESSOR,SMALL ARMS WEAPON",1,Each,$727.00,D,1,"Nov 25, 2013 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,1005-01-437-0324,"SUPPRESSOR,SMALL ARMS WEAPON",1,Each,$727.00,D,1,"Nov 25, 2013 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,1005-01-437-0324,"SUPPRESSOR,SMALL ARMS WEAPON",1,Each,$727.00,D,1,"Nov 25, 2013 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,1005-01-437-0324,"SUPPRESSOR,SMALL ARMS WEAPON",1,Each,$727.00,D,1,"Nov 25, 2013 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,1005-01-437-0324,"SUPPRESSOR,SMALL ARMS WEAPON",1,Each,$727.00,D,1,"Nov 25, 2013 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,1005-01-437-0324,"SUPPRESSOR,SMALL ARMS WEAPON",1,Each,$727.00,D,1,"Nov 25, 2013 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,1005-01-437-0324,"SUPPRESSOR,SMALL ARMS WEAPON",1,Each,$727.00,D,1,"Nov 25, 2013 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,1005-01-437-0324,"SUPPRESSOR,SMALL ARMS WEAPON",1,Each,$727.00,D,1,"Nov 25, 2013 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,1005-01-437-0324,"SUPPRESSOR,SMALL ARMS WEAPON",1,Each,$727.00,D,1,"Nov 25, 2013 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,1005-01-437-0324,"SUPPRESSOR,SMALL ARMS WEAPON",1,Each,$727.00,D,1,"Nov 25, 2013 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,1005-01-437-0324,"SUPPRESSOR,SMALL ARMS WEAPON",1,Each,$727.00,D,1,"Nov 25, 2013 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,1005-01-437-0324,"SUPPRESSOR,SMALL ARMS WEAPON",1,Each,$727.00,D,1,"Nov 25, 2013 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,1005-01-437-0324,"SUPPRESSOR,SMALL ARMS WEAPON",1,Each,$727.00,D,1,"Nov 25, 2013 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,1005-01-437-0324,"SUPPRESSOR,SMALL ARMS WEAPON",1,Each,$727.00,D,1,"Nov 25, 2013 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,1005-01-437-0324,"SUPPRESSOR,SMALL ARMS WEAPON",1,Each,$727.00,D,1,"Nov 25, 2013 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,6220-01-549-4174,LIGHT SPECIAL PURPO,50,Each,$131.98,A,1,"Jun 11, 2019 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,5855-01-547-9489,"SIGHT,NIGHT VISION SNIPERSCOPE",1,Each,"$8,795.00",D,1,"Jun 20, 2019 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,5855-01-547-9489,"SIGHT,NIGHT VISION SNIPERSCOPE",1,Each,"$8,795.00",D,1,"Jun 20, 2019 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,5855-01-547-9489,"SIGHT,NIGHT VISION SNIPERSCOPE",1,Each,"$8,795.00",D,1,"Jun 20, 2019 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,5855-01-547-9489,"SIGHT,NIGHT VISION SNIPERSCOPE",1,Each,"$8,795.00",D,1,"Jun 20, 2019 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,5855-01-547-9489,"SIGHT,NIGHT VISION SNIPERSCOPE",1,Each,"$8,795.00",D,1,"Jun 20, 2019 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,1005-01-437-0324,"SUPPRESSOR,SMALL ARMS WEAPON",1,Each,$727.00,D,1,"Nov 19, 2013 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,1005-01-437-0324,"SUPPRESSOR,SMALL ARMS WEAPON",1,Each,$727.00,D,1,"Nov 19, 2013 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,1005-01-437-0324,"SUPPRESSOR,SMALL ARMS WEAPON",1,Each,$727.00,D,1,"Nov 25, 2013 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,1005-01-437-0324,"SUPPRESSOR,SMALL ARMS WEAPON",1,Each,$727.00,D,1,"Nov 25, 2013 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,1005-01-437-0324,"SUPPRESSOR,SMALL ARMS WEAPON",1,Each,$727.00,D,1,"Nov 25, 2013 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,1005-01-437-0324,"SUPPRESSOR,SMALL ARMS WEAPON",1,Each,$727.00,D,1,"Nov 25, 2013 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,1005-01-437-0324,"SUPPRESSOR,SMALL ARMS WEAPON",1,Each,$727.00,D,1,"Nov 25, 2013 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,1005-01-437-0324,"SUPPRESSOR,SMALL ARMS WEAPON",1,Each,$727.00,D,1,"Nov 25, 2013 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,1005-01-437-0324,"SUPPRESSOR,SMALL ARMS WEAPON",1,Each,$727.00,D,1,"Nov 25, 2013 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"May 16, 2005 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"May 16, 2005 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"May 16, 2005 12:00:00 AM",State
ND,BISMARCK POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"May 16, 2005 12:00:00 AM",State
