State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date,Station Type
OR,BAKER CTY SHERIFF DEPT,8465-01-524-5250,ASSAULT PACK       ,12,Each,$77.08,A,1,"Jan 21, 2020 12:00:00 AM",State
OR,BAKER CTY SHERIFF DEPT,8465-01-523-6276,"FIELD PACK,LARGE,SET",10,Set,$262.34,A,1,"Jan 21, 2020 12:00:00 AM",State
OR,BAKER CTY SHERIFF DEPT,8415-01-538-6747,"JACKET,COLD WEATHER",1,Each,$62.09,A,1,"Jan 21, 2020 12:00:00 AM",State
OR,BAKER CTY SHERIFF DEPT,8415-01-546-6722,"JACKET,COLD WEATHER",1,Each,$65.60,A,1,"Jan 21, 2020 12:00:00 AM",State
OR,BAKER CTY SHERIFF DEPT,2330-DS-TRA-ILE1,TRAILER,1,Each,"$10,855.00",A,,"Feb 4, 2020 12:00:00 AM",State
OR,BAKER CTY SHERIFF DEPT,2355-01-553-4634,MINE RESISTANT VEHICLE,1,Each,"$658,000.00",C,1,"Sep 10, 2013 12:00:00 AM",State
OR,BAKER CTY SHERIFF DEPT,5855-01-333-9606,"LIGHT AIMING KIT,INFRARED",5,Each,$545.69,C,1,"Aug 16, 2006 12:00:00 AM",State
OR,BAKER CTY SHERIFF DEPT,5855-01-501-9529,"VIEWER,NIGHT VISION",5,Each,"$10,427.10",C,1,"Feb 28, 2007 12:00:00 AM",State
OR,BAKER CTY SHERIFF DEPT,1385-01-574-4707,"UNMANNED VEHICLE,GROUND",1,Each,"$10,000.00",Q,3,"Apr 11, 2012 12:00:00 AM",State
OR,BAKER CTY SHERIFF DEPT,2541-01-555-4876,"ARMOR,TRANSPARENT,VEHICULAR WINDOW",1,Each,"$3,728.73",D,1,"Nov 26, 2013 12:00:00 AM",State
OR,BAKER CTY SHERIFF DEPT,1240-00-930-3833,BINOCULAR,4,Each,$278.05,D,1,"Dec 17, 2013 12:00:00 AM",State
OR,BAKER CTY SHERIFF DEPT,1240-00-930-3833,BINOCULAR,6,Each,$278.05,D,1,"Dec 17, 2013 12:00:00 AM",State
