State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date,Station Type
PR,AGUADA POLICE DEPARTMENT,2590-01-541-4611,"PARTS KIT,SPECIALIZED",5,Kit,$579.17,Q,3,"Nov 14, 2013 12:00:00 AM",State
PR,AGUADA POLICE DEPARTMENT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Feb 28, 2014 12:00:00 AM",State
PR,AGUADA POLICE DEPARTMENT,2320-01-146-7193,"TRUCK,UTILITY",1,Each,"$41,447.00",C,1,"Nov 2, 2013 12:00:00 AM",State
PR,AGUADA POLICE DEPARTMENT,5180-00-323-4944,"TOOL KIT,AIRCRAFT MAINTENANCE",1,Kit,"$1,046.00",Q,3,"Nov 14, 2013 12:00:00 AM",State
PR,AGUADA POLICE DEPARTMENT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Feb 28, 2014 12:00:00 AM",State
PR,AGUADA POLICE DEPARTMENT,2320-01-128-9552,"TRUCK,UTILITY",1,Each,"$49,897.00",C,1,"Oct 28, 2014 12:00:00 AM",State
PR,AGUADILLA CITY POLICE,2320-01-128-9551,"TRUCK,UTILITY",1,Each,"$50,458.00",C,1,"Mar 29, 2012 12:00:00 AM",State
PR,AGUADILLA CITY POLICE,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Mar 29, 2012 12:00:00 AM",State
PR,AGUADILLA CITY POLICE,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Mar 16, 2012 12:00:00 AM",State
PR,AGUADILLA CITY POLICE,2320-01-128-9551,"TRUCK,UTILITY",1,Each,"$50,458.00",C,1,"Mar 29, 2012 12:00:00 AM",State
PR,AGUADILLA CITY POLICE,2320-01-107-7153,"TRUCK,UTILITY",1,Each,"$63,894.00",C,1,"Feb 23, 2012 12:00:00 AM",State
PR,AGUADILLA CITY POLICE,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Mar 16, 2012 12:00:00 AM",State
PR,AGUADILLA CITY POLICE,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Mar 16, 2012 12:00:00 AM",State
PR,AGUADILLA CITY POLICE,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Mar 29, 2012 12:00:00 AM",State
PR,AGUADILLA CITY POLICE,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Apr 19, 2012 12:00:00 AM",State
PR,ARECIBO POLICE DEPT,2320-DS-NTV-UARM,UP ARMORED NTVS,1,Each,"$95,000.00",C,,"Apr 14, 2015 12:00:00 AM",State
PR,ARECIBO POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"May 6, 2015 12:00:00 AM",State
PR,ARECIBO POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Jun 4, 2015 12:00:00 AM",State
PR,ARECIBO POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Jun 4, 2015 12:00:00 AM",State
PR,ARECIBO POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Jun 4, 2015 12:00:00 AM",State
PR,ARECIBO POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Jun 4, 2015 12:00:00 AM",State
PR,ARROYO POLICE DEPT,2320-01-128-9551,"TRUCK,UTILITY",1,Each,"$50,458.00",C,1,"Oct 13, 2011 12:00:00 AM",State
PR,ARROYO POLICE DEPT,2320-01-128-9551,"TRUCK,UTILITY",1,Each,"$50,458.00",C,1,"Oct 18, 2011 12:00:00 AM",State
PR,BARCELONETA POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Mar 16, 2012 12:00:00 AM",State
PR,BARCELONETA POLICE DEPT,2320-01-128-9551,"TRUCK,UTILITY",1,Each,"$50,458.00",C,1,"Feb 23, 2012 12:00:00 AM",State
PR,BARCELONETA POLICE DEPT,2320-01-128-9551,"TRUCK,UTILITY",1,Each,"$50,458.00",C,1,"Feb 23, 2012 12:00:00 AM",State
PR,BARCELONETA POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Feb 2, 2012 12:00:00 AM",State
PR,BARCELONETA POLICE DEPT,2320-01-107-7155,"TRUCK,UTILITY",1,Each,"$41,061.00",Q,6,"Feb 2, 2012 12:00:00 AM",State
PR,BARCELONETA POLICE DEPT,4940-00-294-9517,"SHOP EQUIPMENT,ELECTRICAL EQUIPMENT",1,Set,"$145,394.00",Q,3,"Dec 3, 2011 12:00:00 AM",State
PR,BARCELONETA POLICE DEPT,2320-01-107-7156,"TRUCK,UTILITY",1,Each,"$43,376.00",Q,6,"Mar 6, 2015 12:00:00 AM",State
PR,BARCELONETA POLICE DEPT,1240-01-562-9459,"RANGE FINDER,LASER",9,Each,$399.81,D,1,"Jun 29, 2018 12:00:00 AM",State
PR,BARCELONETA POLICE DEPT,1240-01-562-9459,"RANGE FINDER,LASER",1,Each,$399.81,D,1,"Jun 29, 2018 12:00:00 AM",State
