State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date,Station Type
RI,BARRINGTON POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"May 16, 2012 12:00:00 AM",State
RI,BARRINGTON POLICE DEPT,1240-01-207-5787,BINOCULAR,4,Each,$431.00,D,1,"Apr 21, 2011 12:00:00 AM",State
RI,BARRINGTON POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"May 16, 2012 12:00:00 AM",State
RI,BARRINGTON POLICE DEPT,2320-01-128-9552,"TRUCK,UTILITY",1,Each,"$49,897.00",C,1,"Apr 22, 2011 12:00:00 AM",State
RI,BARRINGTON POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"May 16, 2012 12:00:00 AM",State
RI,BARRINGTON POLICE DEPT,1240-01-568-8373,"MOUNT,SIGHT",5,Each,"$1,101.46",B,3,"Jun 7, 2011 12:00:00 AM",State
RI,BARRINGTON POLICE DEPT,2815-00-531-5921,"FILTER, AIR HM-1",3,Each,$64.08,Q,3,"Dec 3, 2011 12:00:00 AM",State
RI,BARRINGTON POLICE DEPT,1240-01-411-6350,"TELESCOPE,STRAIGHT",2,Each,$814.00,D,7,"May 18, 2011 12:00:00 AM",State
RI,BARRINGTON POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Nov 13, 2009 12:00:00 AM",State
RI,BARRINGTON POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"May 16, 2012 12:00:00 AM",State
RI,BARRINGTON POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Nov 13, 2009 12:00:00 AM",State
RI,BARRINGTON POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"May 16, 2012 12:00:00 AM",State
RI,BARRINGTON POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Nov 13, 2009 12:00:00 AM",State
RI,BARRINGTON POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"May 16, 2012 12:00:00 AM",State
RI,BARRINGTON POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"May 16, 2012 12:00:00 AM",State
RI,BARRINGTON POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"May 16, 2012 12:00:00 AM",State
RI,BARRINGTON POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Nov 13, 2009 12:00:00 AM",State
RI,BARRINGTON POLICE DEPT,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1,Each,$120.00,D,1,"Nov 13, 2009 12:00:00 AM",State
RI,BURRILLVILLE POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Feb 2, 1994 12:00:00 AM",State
RI,BURRILLVILLE POLICE DEPT,5855-01-471-1145,"VIEWER,NIGHT VISION",1,Each,"$75,000.00",D,1,"Dec 13, 2008 12:00:00 AM",State
RI,BURRILLVILLE POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Aug 16, 2002 12:00:00 AM",State
RI,BURRILLVILLE POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Feb 2, 1994 12:00:00 AM",State
RI,BURRILLVILLE POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Feb 2, 1994 12:00:00 AM",State
RI,BURRILLVILLE POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Aug 16, 2002 12:00:00 AM",State
RI,CHARLESTOWN POLICE DEPT,2320-01-146-7193,"TRUCK,UTILITY",1,Each,"$41,447.00",C,1,"Jul 13, 2011 12:00:00 AM",State
RI,CHARLESTOWN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 18, 2002 12:00:00 AM",State
RI,CHARLESTOWN POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 11, 1994 12:00:00 AM",State
RI,CHARLESTOWN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Nov 18, 2002 12:00:00 AM",State
RI,CHARLESTOWN POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 11, 1994 12:00:00 AM",State
RI,CHARLESTOWN POLICE DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Jan 11, 1994 12:00:00 AM",State
RI,CHARLESTOWN POLICE DEPT,2320-01-456-1282,"TRUCK,UTILITY",1,Each,"$46,983.00",C,1,"Apr 30, 2012 12:00:00 AM",State
RI,COVENTRY POLICE DEPT,5855-01-504-4589,"IMAGE INTENSIFIER TUBE,NIGHT VISION",1,Each,"$2,259.00",F,1,"Nov 4, 2006 12:00:00 AM",State
RI,COVENTRY POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jan 10, 2005 12:00:00 AM",State
RI,COVENTRY POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jan 10, 2005 12:00:00 AM",State
RI,COVENTRY POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jan 10, 2005 12:00:00 AM",State
RI,COVENTRY POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jan 10, 2005 12:00:00 AM",State
RI,COVENTRY POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jan 10, 2005 12:00:00 AM",State
RI,COVENTRY POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jan 10, 2005 12:00:00 AM",State
RI,COVENTRY POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jan 10, 2005 12:00:00 AM",State
RI,COVENTRY POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Jan 10, 2005 12:00:00 AM",State
