State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date,Station Type
TN,18TH JUDICAL DTF,4940-01-504-9785,"SERVICING PLATFORM,SELF-PROPELLED",1,Each,"$133,232.81",Q,3,"Feb 1, 2010 12:00:00 AM",State
TN,18TH JUDICAL DTF,1240-01-411-1265,"SIGHT,REFLEX",15,Each,$321.00,D,1,"May 6, 2011 12:00:00 AM",State
TN,18TH JUDICAL DTF,2320-01-107-7153,"TRUCK,UTILITY",1,Each,"$63,894.00",C,1,"Oct 20, 2011 12:00:00 AM",State
TN,21ST JUDICIAL DISTRICT DTF,8475-01-128-8269,"HELMET,FLYERS",6,Each,$286.69,Q,3,"Aug 14, 2010 12:00:00 AM",State
TN,21ST JUDICIAL DISTRICT DTF,5180-01-375-6927,"TOOL KIT,AIRCRAFT MAINTENANCE",1,Kit,"$1,016.00",Q,3,"Aug 31, 2010 12:00:00 AM",State
TN,21ST JUDICIAL DISTRICT DTF,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Sep 18, 2002 12:00:00 AM",State
TN,21ST JUDICIAL DISTRICT DTF,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Sep 18, 2002 12:00:00 AM",State
TN,21ST JUDICIAL DISTRICT DTF,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Sep 18, 2002 12:00:00 AM",State
TN,21ST JUDICIAL DISTRICT DTF,6110-01-303-4667,"PANEL,POWER DISTRIBUTION",6,Each,"$1,727.26",Q,3,"Oct 24, 2009 12:00:00 AM",State
TN,21ST JUDICIAL DISTRICT DTF,5420-01-325-7597,RAMP ASSEMBLY      ,2,Each,"$8,025.56",D,1,"Nov 4, 2009 12:00:00 AM",State
TN,21ST JUDICIAL DISTRICT DTF,6230-01-273-2567,FLOODLIGHT ASSEMBLY,2,Each,"$7,650.00",Q,3,"Dec 14, 2009 12:00:00 AM",State
TN,23RD JUDICIAL DISTRICT DTF,1240-01-533-0941,"SIGHT,REFLEX",16,Each,$400.00,D,0,"Feb 11, 2019 12:00:00 AM",State
TN,23RD JUDICIAL DISTRICT DTF,7021-DS-LAP-TOP2,LAPTOP COMPUTER,1,Each,$831.00,A,,"Apr 24, 2019 12:00:00 AM",State
TN,23RD JUDICIAL DISTRICT DTF,1240-01-411-1265,"SIGHT,REFLEX",5,Each,$321.00,D,1,"Jul 27, 2012 12:00:00 AM",State
TN,23RD JUDICIAL DISTRICT DTF,7021-DS-LAP-TOP2,LAPTOP COMPUTER,1,Each,$831.00,A,,"Apr 24, 2019 12:00:00 AM",State
TN,23RD JUDICIAL DISTRICT DTF,2510-01-253-3907,"DOOR,VEHICULAR",2,Assembly,"$1,623.60",D,1,"Aug 13, 2012 12:00:00 AM",State
