State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date,Station Type
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Aug 22, 1998 12:00:00 AM",State
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Aug 22, 1998 12:00:00 AM",State
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Aug 22, 1998 12:00:00 AM",State
WA,ABERDEEN POLICE DEPT,5855-01-524-4313,"SIGHT,THERMAL",1,Each,"$11,300.00",F,7,"Nov 3, 2017 12:00:00 AM",State
WA,ABERDEEN POLICE DEPT,5855-01-571-1258,"ILLUMINATOR,INTEGRATED,SMALL ARMS",12,Each,"$1,049.00",D,1,"Mar 29, 2018 12:00:00 AM",State
WA,ABERDEEN POLICE DEPT,1240-01-490-7308,"SIGHT,REFLEX",15,Each,"$1,170.55",D,1,"Apr 30, 2013 12:00:00 AM",State
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 4, 1998 12:00:00 AM",State
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 4, 1998 12:00:00 AM",State
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 4, 1998 12:00:00 AM",State
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 4, 1998 12:00:00 AM",State
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 4, 1998 12:00:00 AM",State
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 4, 1998 12:00:00 AM",State
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 4, 1998 12:00:00 AM",State
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 4, 1998 12:00:00 AM",State
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 9, 2006 12:00:00 AM",State
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 9, 2006 12:00:00 AM",State
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 9, 2006 12:00:00 AM",State
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 9, 2006 12:00:00 AM",State
WA,ABERDEEN POLICE DEPT,5855-01-524-4313,"SIGHT,THERMAL",1,Each,"$11,300.00",F,7,"Nov 3, 2017 12:00:00 AM",State
WA,ABERDEEN POLICE DEPT,5855-01-524-4313,"SIGHT,THERMAL",1,Each,"$11,300.00",F,7,"Nov 3, 2017 12:00:00 AM",State
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 9, 2006 12:00:00 AM",State
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Feb 9, 2006 12:00:00 AM",State
WA,ABERDEEN POLICE DEPT,5855-01-524-4313,"SIGHT,THERMAL",1,Each,"$11,300.00",F,7,"Nov 3, 2017 12:00:00 AM",State
WA,ABERDEEN POLICE DEPT,1095-01-526-7860,"FIRING DEVICE,NON-LETHAL",5,Each,"$1,079.00",D,1,"Mar 25, 2015 12:00:00 AM",State
WA,ABERDEEN POLICE DEPT,2355-01-590-1660,MINE RESISTANT VEHICLE,1,Each,"$733,000.00",C,1,"May 13, 2014 12:00:00 AM",State
WA,ABERDEEN POLICE DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Aug 22, 1998 12:00:00 AM",State
WA,ADAMS COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Aug 19, 2002 12:00:00 AM",State
WA,ADAMS COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 3, 2003 12:00:00 AM",State
WA,ADAMS COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Dec 3, 2003 12:00:00 AM",State
WA,ADAMS COUNTY SHERIFF DEPT,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,$499.00,D,1,"Aug 19, 2002 12:00:00 AM",State
WA,ADAMS COUNTY SHERIFF DEPT,1240-01-559-3017,"RANGE FINDER,LASER",15,Each,$749.00,Q,3,"Feb 9, 2016 12:00:00 AM",State
WA,ADAMS COUNTY SHERIFF DEPT,1095-01-526-7860,"FIRING DEVICE,NON-LETHAL",2,Each,"$1,079.00",D,1,"Apr 2, 2015 12:00:00 AM",State
WA,AIRWAY HEIGHTS POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",14,Each,$321.00,D,1,"Feb 18, 2014 12:00:00 AM",State
WA,AIRWAY HEIGHTS POLICE DEPT,1240-01-412-6608,"TELESCOPE,STRAIGHT",1,Each,$987.00,F,1,"Sep 10, 2013 12:00:00 AM",State
WA,AIRWAY HEIGHTS POLICE DEPT,1240-01-587-1372,"MAGNIFIER,WEAPON SIGHT",4,Each,$365.50,D,1,"Nov 7, 2014 12:00:00 AM",State
WA,ANACORTES POLICE DEPT,5855-DS-NIG-HTVI,"NIGHT VISION EQUIP, EMIT, REFLECTED RAD",1,Each,"$15,794.00",D,,"Apr 4, 2019 12:00:00 AM",State
WA,ANACORTES POLICE DEPT,5965-01-572-7829,HEADSET-MICROPHONE,30,Kit,$977.60,D,1,"Jun 14, 2018 12:00:00 AM",State
WA,ANACORTES POLICE DEPT,5855-DS-NIG-HTVI,"NIGHT VISION EQUIP, EMIT, REFLECTED RAD",1,Each,"$15,794.00",D,,"Apr 4, 2019 12:00:00 AM",State
WA,ANACORTES POLICE DEPT,5110-00-224-7064,"CUTTER,BOLT",27,Each,$58.70,A,1,"Aug 2, 2019 12:00:00 AM",State
WA,ANACORTES POLICE DEPT,5855-01-465-2168,"ILLUMINATOR,INFRARED",1,Each,"$7,786.31",C,1,"Oct 15, 2011 12:00:00 AM",State
WA,ANACORTES POLICE DEPT,7110-DS-SAF-E000,SAFE,27,Each,$149.97,A,,"Aug 15, 2019 12:00:00 AM",State
WA,ANACORTES POLICE DEPT,1240-01-412-6608,"TELESCOPE,STRAIGHT",13,Each,$987.00,F,1,"Sep 10, 2013 12:00:00 AM",State
WA,ANACORTES POLICE DEPT,4110-DS-REF-RIG0,REFRIGERATOR,1,Each,$599.00,A,,"Feb 25, 2020 12:00:00 AM",State
WA,ANACORTES POLICE DEPT,1240-01-412-6608,"TELESCOPE,STRAIGHT",12,Each,$987.00,F,1,"Sep 10, 2013 12:00:00 AM",State
WA,ARLINGTON POLICE DEPT,5855-01-524-4314,"SIGHT,THERMAL",1,Each,"$11,999.00",F,7,"Nov 10, 2016 12:00:00 AM",State
WA,ARLINGTON POLICE DEPT,1240-01-576-6134,"SIGHT,REFLEX",15,Each,$446.00,D,1,"Nov 16, 2017 12:00:00 AM",State
WA,ARLINGTON POLICE DEPT,5855-01-524-4314,"SIGHT,THERMAL",1,Each,"$11,999.00",F,7,"Nov 10, 2016 12:00:00 AM",State
WA,ARLINGTON POLICE DEPT,5855-01-524-4314,"SIGHT,THERMAL",1,Each,"$11,999.00",F,7,"Nov 10, 2016 12:00:00 AM",State
WA,ARLINGTON POLICE DEPT,5855-01-228-0939,NIGHT VISION GOGGLE,1,Each,"$7,621.00",F,1,"Mar 13, 2012 12:00:00 AM",State
WA,ARLINGTON POLICE DEPT,2350-01-575-0646,"UNMANNED VEHICLE,GROUND",1,Each,"$187,312.00",Q,3,"Nov 30, 2016 12:00:00 AM",State
WA,ARLINGTON POLICE DEPT,5855-01-524-4314,"SIGHT,THERMAL",1,Each,"$11,999.00",F,7,"Nov 10, 2016 12:00:00 AM",State
WA,ARLINGTON POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",9,Each,$321.00,D,1,"Nov 7, 2016 12:00:00 AM",State
WA,ARLINGTON POLICE DEPT,2355-01-581-2392,MINE RESISTANT VEHICLE,1,Each,"$705,421.00",D,1,"Mar 20, 2020 12:00:00 AM",State
WA,ASOTIN COUNTY SHERIFF DEPT,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Nov 28, 2000 12:00:00 AM",State
