State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date,Station Type
WI,ADAMS COUNTY SHERIFF OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 21, 2001 12:00:00 AM",State
WI,ADAMS COUNTY SHERIFF OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 21, 2001 12:00:00 AM",State
WI,ADAMS COUNTY SHERIFF OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 21, 2001 12:00:00 AM",State
WI,ADAMS COUNTY SHERIFF OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 21, 2001 12:00:00 AM",State
WI,ADAMS COUNTY SHERIFF OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 21, 2001 12:00:00 AM",State
WI,ADAMS COUNTY SHERIFF OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 21, 2001 12:00:00 AM",State
WI,ADAMS COUNTY SHERIFF OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 21, 2001 12:00:00 AM",State
WI,ADAMS COUNTY SHERIFF OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 21, 2001 12:00:00 AM",State
WI,ADAMS COUNTY SHERIFF OFFICE,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,$138.00,D,1,"Aug 21, 2001 12:00:00 AM",State
WI,ALTOONA POLICE DEPT,5855-14-521-9283,"VIEWER,NIGHT VISION",1,Each,"$46,000.00",D,1,"Jul 18, 2019 12:00:00 AM",State
WI,ALTOONA POLICE DEPT,5855-14-521-9283,"VIEWER,NIGHT VISION",1,Each,"$46,000.00",D,1,"Jul 18, 2019 12:00:00 AM",State
